CIG,confidence,cds_confirmed,esiti_found,sources
0000000533,MEDIUM,False,respinge,sentenze
0000000534,MEDIUM,False,respinge,sentenze
0007989895,MEDIUM,False,respinge,sentenze
0778599015,MEDIUM,False,respinge,sentenze
0944665581,HIGH,True,respinge,sentenze
1111111111,HIGH,True,respinge,sentenze
1225626252,MEDIUM,False,dichiara improcedibile,sentenze
4247272000,MEDIUM,False,respinge,sentenze
4511129017,HIGH,True,respinge,sentenze
50726123D8,HIGH,True,dichiara estinto,sentenze
585484525C,HIGH,True,dichiara improcedibile,sentenze
6339868095,MEDIUM,False,dichiara estinto,sentenze
6478528A6C,MEDIUM,False,dichiara estinto,sentenze
6478532DB8,MEDIUM,False,dichiara inammissibile,sentenze
65306173A2,HIGH,True,respinge,sentenze
666660614F,MEDIUM,False,dichiara inammissibile,sentenze
679639850D,MEDIUM,False,respinge,sentenze
6820564B75,MEDIUM,False,respinge,sentenze
7044856F11,MEDIUM,False,respinge,sentenze
7115231A5C,MEDIUM,False,dichiara inammissibile,sentenze
7115272C31,MEDIUM,False,dichiara inammissibile,sentenze
72163429CC,MEDIUM,False,respinge,sentenze
7297497507,MEDIUM,False,respinge,sentenze
7320754D4D,HIGH,True,respinge,sentenze
7336515BB1,HIGH,True,respinge,ordinanze
7381083660,HIGH,True,respinge,ordinanze
7516688729,MEDIUM,False,respinge,sentenze
7539115283,HIGH,True,respinge,"ordinanze, sentenze"
778793359E,MEDIUM,False,respinge,sentenze
7810624AD1,MEDIUM,False,respinge,sentenze
78192866EE,HIGH,True,"dichiara inammissibile, respinge",sentenze
7901951041,MEDIUM,False,respinge,sentenze
7901990070,HIGH,True,respinge,sentenze
7904089495,HIGH,True,respinge,sentenze
7904119D54,MEDIUM,False,respinge sui motivi aggiunti,sentenze
7904120E27,MEDIUM,False,respinge sui motivi aggiunti,sentenze
7904143126,MEDIUM,False,dichiara irricevibile,sentenze
791855022E,MEDIUM,False,"dichiara improcedibile, respinge",sentenze
7993597CE9,MEDIUM,False,respinge,sentenze
8084802DA8,MEDIUM,False,dichiara improcedibile,sentenze
8121666363,HIGH,True,respinge,sentenze
81279135FD,MEDIUM,False,respinge,sentenze
8128666363,HIGH,True,respinge,sentenze
8128672855,HIGH,True,respinge,sentenze
8128676BA1,HIGH,True,respinge,sentenze
812868316B,HIGH,True,respinge,sentenze
8128685311,HIGH,True,respinge,sentenze
81286928D6,HIGH,True,respinge,sentenze
8128706465,HIGH,True,respinge,sentenze
8128716CA3,HIGH,True,respinge,sentenze
8128731905,HIGH,True,respinge,sentenze
8128734B7E,HIGH,True,respinge,sentenze
8128741148,HIGH,True,respinge,sentenze
8128745494,HIGH,True,respinge,sentenze
81287497E0,HIGH,True,respinge,sentenze
816462098F,HIGH,True,"dichiara irricevibile, respinge",sentenze
816463993D,HIGH,True,respinge,sentenze
8164655672,HIGH,True,respinge,sentenze
8164660A91,HIGH,True,respinge,sentenze
8164686009,HIGH,True,respinge,sentenze
81647157F5,HIGH,True,"dichiara inammissibile, respinge",sentenze
8164723E8D,HIGH,True,"dichiara inammissibile, respinge",sentenze
816472610B,HIGH,True,"dichiara inammissibile, respinge",sentenze
8164760D16,HIGH,True,"dichiara inammissibile, respinge",sentenze
8164769486,HIGH,True,"dichiara inammissibile, respinge",sentenze
81647748A5,HIGH,True,"dichiara improcedibile, dichiara inammissibile, respinge",sentenze
8164787361,HIGH,True,respinge,sentenze
81647916AD,HIGH,True,respinge,sentenze
842931284F,HIGH,True,respinge,sentenze
8438707151,MEDIUM,False,respinge,sentenze
8482842000,MEDIUM,False,dichiara improcedibile,sentenze
8488899D0D,MEDIUM,False,respinge,sentenze
84A8E33FAD,MEDIUM,False,respinge,ordinanze
84D2435E0C,MEDIUM,False,respinge sui motivi aggiunti,sentenze
8543533A75,MEDIUM,False,respinge,sentenze
85484525C0,HIGH,True,dichiara improcedibile,sentenze
856336150C,MEDIUM,False,dichiara inammissibile,sentenze
857255040D,MEDIUM,False,respinge,sentenze
8572559B78,MEDIUM,False,respinge,sentenze
8624663110,HIGH,True,respinge,"ordinanze, sentenze"
8629392F8A,HIGH,True,respinge,sentenze
8632814779,HIGH,True,respinge,sentenze
8635614E19,HIGH,True,"dichiara inammissibile, respinge",sentenze
8649968368,HIGH,True,dichiara inammissibile,sentenze
8666033CA7,HIGH,True,"dichiara inammissibile, respinge",sentenze
8678887C1C,HIGH,True,respinge,sentenze
868440126B,HIGH,True,"respinge, respinge sui motivi aggiunti","ordinanze, sentenze"
8716777FEC,MEDIUM,False,dichiara improcedibile,sentenze
8733157D21,HIGH,True,respinge,sentenze
8753590AFA,HIGH,True,respinge,sentenze
875360033D,HIGH,True,respinge,sentenze
87536024E3,HIGH,True,respinge,sentenze
876432669C,MEDIUM,False,respinge sui motivi aggiunti,sentenze
8781483504,HIGH,True,respinge,sentenze
8796441CBD,HIGH,True,dichiara improcedibile,sentenze
8796468308,HIGH,True,respinge sui motivi aggiunti,sentenze
8804025F40,MEDIUM,False,respinge,sentenze
8813243632,HIGH,True,respinge,sentenze
8816608F12,HIGH,True,"dichiara irricevibile, respinge",sentenze
8841278569,MEDIUM,False,respinge,sentenze
885099474E,MEDIUM,False,dichiara improcedibile,sentenze
8878048CF7,HIGH,True,respinge,sentenze
88832333C6,MEDIUM,False,dichiara improcedibile,sentenze
89134603E2,HIGH,True,respinge,sentenze
8930949443,MEDIUM,False,respinge,sentenze
8931738F5A,MEDIUM,False,dichiara improcedibile,sentenze
8934235BF2,HIGH,True,"dichiara irricevibile, respinge","ordinanze, sentenze"
8939939F08,MEDIUM,False,respinge,sentenze
8950428ED4,HIGH,True,respinge,sentenze
89553024FE,MEDIUM,False,respinge,sentenze
8955312D3C,MEDIUM,False,respinge,sentenze
895531608D,MEDIUM,False,respinge,sentenze
89559267EE,MEDIUM,False,respinge,sentenze
8969602DB7,MEDIUM,False,respinge,sentenze
89696082AE,MEDIUM,False,respinge,sentenze
8969616946,MEDIUM,False,respinge,sentenze
8983758F9D,MEDIUM,False,dichiara irricevibile,sentenze
8984572F59,HIGH,True,respinge,sentenze
8985791D4D,HIGH,True,dichiara estinto,sentenze
8989184D4B,MEDIUM,False,respinge,sentenze
8998538478,MEDIUM,False,respinge,sentenze
90032672F7,MEDIUM,False,respinge,sentenze
9004459AA0,HIGH,True,respinge,sentenze
9017977E07,MEDIUM,False,"dichiara inammissibile, respinge",sentenze
9025007760,HIGH,True,respinge,sentenze
9025037024,HIGH,True,respinge,sentenze
9028020DC6,HIGH,True,respinge,"ordinanze, sentenze"
9028021E99,MEDIUM,False,respinge,"ordinanze, sentenze"
9030490418,MEDIUM,False,respinge,"ordinanze, sentenze"
90388463AF,MEDIUM,False,respinge,sentenze
90425189E8,MEDIUM,False,dichiara inammissibile,sentenze
9042550452,MEDIUM,False,dichiara inammissibile,sentenze
9042563F09,MEDIUM,False,respinge,sentenze
9042940628,MEDIUM,False,dichiara inammissibile,sentenze
9049345BB9,HIGH,True,respinge,sentenze
904938196F,HIGH,True,respinge,sentenze
90494019F0,HIGH,True,respinge,sentenze
90512049D2,HIGH,True,"dichiara inammissibile, respinge",sentenze
9068500AEE,HIGH,True,respinge,sentenze
9070953338,MEDIUM,False,respinge,sentenze
9072613D15,HIGH,True,dichiara inammissibile,sentenze
9073482A35,HIGH,True,respinge,sentenze
90734965C4,HIGH,True,respinge,sentenze
90737539D8,HIGH,True,respinge,sentenze
9073826617,HIGH,True,respinge,sentenze
9073888940,HIGH,True,respinge,sentenze
90739371B2,HIGH,True,respinge,sentenze
9073958306,HIGH,True,respinge,sentenze
907397403B,HIGH,True,respinge,sentenze
907398594C,HIGH,True,respinge,sentenze
907401306A,HIGH,True,respinge,sentenze
9074031F40,HIGH,True,respinge,sentenze
9074066C23,HIGH,True,respinge,sentenze
9074084AFE,HIGH,True,respinge,sentenze
90740975BA,HIGH,True,respinge,sentenze
90741143C2,HIGH,True,respinge,sentenze
9074141A08,HIGH,True,respinge,sentenze
9074163C2F,HIGH,True,respinge,sentenze
9074183CB0,HIGH,True,respinge,sentenze
9094699F06,MEDIUM,False,respinge,ordinanze
90947411B3,MEDIUM,False,respinge,sentenze
9095896AD3,MEDIUM,False,respinge,ordinanze
9103345DEE,MEDIUM,False,respinge,ordinanze
9103350212,MEDIUM,False,respinge,ordinanze
91033691C0,MEDIUM,False,respinge,ordinanze
910337350C,MEDIUM,False,respinge,ordinanze
911232507A,MEDIUM,False,"dichiara improcedibile, respinge",sentenze
9114082A63,MEDIUM,False,respinge,sentenze
9114907335,HIGH,True,"dichiara improcedibile, respinge","ordinanze, sentenze"
91271878FA,MEDIUM,False,dichiara irricevibile,sentenze
9137911AB3,MEDIUM,False,respinge,sentenze
9145997B7A,MEDIUM,False,respinge,sentenze
914773668D,MEDIUM,False,respinge,sentenze
91528101C1,MEDIUM,False,respinge,ordinanze
91539259DF,HIGH,True,respinge,sentenze
9164147D54,HIGH,True,"dichiara improcedibile, respinge","ordinanze, sentenze"
9169149D1C,MEDIUM,False,respinge,sentenze
9169363DB5,MEDIUM,False,dichiara improcedibile,sentenze
9176982D1B,HIGH,True,"dichiara improcedibile, respinge, respinge sui motivi aggiunti",sentenze
9178575FB0,HIGH,True,"dichiara improcedibile, respinge, respinge sui motivi aggiunti",sentenze
9182616670,MEDIUM,False,respinge,sentenze
91925804FE,MEDIUM,False,respinge,sentenze
9232822DBB,MEDIUM,False,respinge,sentenze
9247637F74,MEDIUM,False,respinge,ordinanze
924793448F,MEDIUM,False,dichiara improcedibile,sentenze
92497921D5,MEDIUM,False,respinge,sentenze
9250003FF0,HIGH,True,"dichiara improcedibile, respinge","ordinanze, sentenze"
925001168D,HIGH,True,"dichiara improcedibile, respinge","ordinanze, sentenze"
926144957D,HIGH,True,respinge,ordinanze
92638166CC,HIGH,True,respinge,sentenze
9267606E65,HIGH,True,respinge,sentenze
9275610B82,HIGH,True,respinge,sentenze
9284057633,HIGH,True,respinge,sentenze
9284063B25,HIGH,True,respinge,sentenze
9286426928,HIGH,True,respinge,sentenze
9296536034,MEDIUM,False,dichiara inammissibile,sentenze
930009592C,MEDIUM,False,respinge sui motivi aggiunti,sentenze
9300102EF1,MEDIUM,False,respinge sui motivi aggiunti,sentenze
93001083E8,MEDIUM,False,respinge sui motivi aggiunti,sentenze
9300639A18,MEDIUM,False,dichiara estinto,sentenze
9304974375,MEDIUM,False,respinge sui motivi aggiunti,sentenze
9311187A94,MEDIUM,False,respinge,sentenze
9311191DE0,MEDIUM,False,respinge,sentenze
9311193F86,MEDIUM,False,respinge,sentenze
9311196204,MEDIUM,False,respinge,sentenze
93181837DD,HIGH,True,respinge,sentenze
93239395DE,HIGH,True,"dichiara improcedibile, respinge",sentenze
9323970F70,HIGH,True,"dichiara improcedibile, respinge",sentenze
93244435C8,MEDIUM,False,dichiara improcedibile,sentenze
93267559B3,MEDIUM,False,dichiara inammissibile,sentenze
9328638B99,HIGH,True,respinge,sentenze
9330290EDE,MEDIUM,False,respinge,sentenze
9330340823,HIGH,True,respinge,sentenze
9331816A2B,MEDIUM,False,respinge,sentenze
9344665581,HIGH,True,respinge,sentenze
9347484BCF,HIGH,True,respinge,sentenze
93551577C6,HIGH,True,respinge,sentenze
93560275B9,HIGH,True,respinge,sentenze
936044860C,HIGH,True,dichiara inammissibile,sentenze
93632541A3,MEDIUM,False,dichiara inammissibile,sentenze
9366241296,HIGH,True,respinge,sentenze
9382471401,HIGH,True,respinge,sentenze
93825938AD,HIGH,True,respinge,sentenze
9390235B0D,HIGH,True,respinge,sentenze
9390325554,HIGH,True,respinge,sentenze
939034342F,HIGH,True,respinge,sentenze
9395004A8E,HIGH,True,respinge,sentenze
939821003E,HIGH,True,"dichiara inammissibile, respinge",sentenze
9399130771,HIGH,True,respinge,sentenze
93996894BF,HIGH,True,"dichiara improcedibile, respinge","ordinanze, sentenze"
9399690592,HIGH,True,"dichiara improcedibile, respinge","ordinanze, sentenze"
9399692738,HIGH,True,"dichiara improcedibile, respinge","ordinanze, sentenze"
9407957BB5,MEDIUM,False,dichiara inammissibile,sentenze
94204598B0,HIGH,True,respinge,sentenze
94204988DF,MEDIUM,False,dichiara improcedibile,sentenze
94205091F5,MEDIUM,False,respinge,sentenze
9420525F25,MEDIUM,False,respinge,"ordinanze, sentenze"
9420562DAE,MEDIUM,False,respinge,sentenze
942060947A,MEDIUM,False,respinge,sentenze
942501693E,HIGH,True,"dichiara improcedibile, respinge",sentenze
9425310BDB,MEDIUM,False,respinge,sentenze
9428990881,HIGH,True,respinge,sentenze
94289908B1,HIGH,True,respinge,sentenze
94325545CD,HIGH,True,respinge,sentenze
9435413D1D,MEDIUM,False,dichiara inammissibile,sentenze
9435413DID,MEDIUM,False,dichiara inammissibile,sentenze
9436629898,HIGH,True,respinge,sentenze
943849192A,HIGH,True,respinge,sentenze
9444142087,MEDIUM,False,respinge,sentenze
9448831DFF,HIGH,True,respinge,sentenze
94495818EC,HIGH,True,respinge,sentenze
94562475E2,MEDIUM,False,respinge,sentenze
9458158EE1,HIGH,True,dichiara improcedibile,sentenze
9459539288,HIGH,True,respinge,ordinanze
946293442C,HIGH,True,respinge,sentenze
9470235D23,HIGH,True,respinge,sentenze
947598348C,HIGH,True,respinge sui motivi aggiunti,sentenze
9480315609,HIGH,True,respinge,"ordinanze, sentenze"
948069984F,HIGH,True,"dichiara irricevibile, respinge","ordinanze, sentenze"
94810677FE,MEDIUM,False,dichiara improcedibile,sentenze
9481169C29,HIGH,True,respinge,sentenze
94824014D9,MEDIUM,False,dichiara improcedibile,sentenze
94845588DB,HIGH,True,respinge,sentenze
9489815B11,HIGH,True,respinge,sentenze
949386593C,HIGH,True,"respinge, respinge sui motivi aggiunti","ordinanze, sentenze"
94942116C4,HIGH,True,"respinge, respinge sui motivi aggiunti","ordinanze, sentenze"
949570687A,HIGH,True,respinge,sentenze
9498135CF2,MEDIUM,False,respinge,sentenze
9498529219,MEDIUM,False,respinge,sentenze
9499166FC0,MEDIUM,False,respinge,sentenze
9502809E0D,MEDIUM,False,dichiara inammissibile,sentenze
95055568F4,HIGH,True,respinge,sentenze
95088696EE,HIGH,True,dichiara irricevibile,sentenze
9509378AF7,MEDIUM,False,"dichiara inammissibile, respinge",sentenze
9509419CCC,MEDIUM,False,respinge,sentenze
9518224EE9,MEDIUM,False,respinge,sentenze
9519269D46,MEDIUM,False,respinge,sentenze
95251366E2,HIGH,True,dichiara inammissibile,sentenze
95268426B8,MEDIUM,False,respinge sui motivi aggiunti,sentenze
9526853FC9,MEDIUM,False,respinge sui motivi aggiunti,sentenze
95269965CE,MEDIUM,False,respinge sui motivi aggiunti,sentenze
9526999847,MEDIUM,False,respinge sui motivi aggiunti,sentenze
95272431A4,MEDIUM,False,dichiara inammissibile,sentenze
9528342C8D,HIGH,True,respinge,sentenze
9528944D56,MEDIUM,False,respinge,sentenze
9528964DD7,MEDIUM,False,respinge,sentenze
95289935C8,HIGH,True,respinge,sentenze
9529369C0F,MEDIUM,False,dichiara improcedibile,sentenze
95293761D9,MEDIUM,False,dichiara improcedibile,sentenze
9529427BEC,MEDIUM,False,dichiara improcedibile,sentenze
9532185FE4,HIGH,True,respinge,sentenze
9534876C94,MEDIUM,False,respinge,sentenze
9535359B2A,MEDIUM,False,respinge,sentenze
9535866D8D,MEDIUM,False,respinge,sentenze
9536505CDF,MEDIUM,False,respinge,sentenze
9536527F06,MEDIUM,False,"respinge, respinge sui motivi aggiunti",sentenze
9536541A95,MEDIUM,False,respinge,sentenze
95365523AB,MEDIUM,False,respinge,sentenze
9536740ECC,MEDIUM,False,dichiara inammissibile,sentenze
9539393C20,HIGH,True,respinge,sentenze
95408026E0,HIGH,True,respinge,"ordinanze, sentenze"
95408606BD,HIGH,True,respinge,"ordinanze, sentenze"
9541084F94,MEDIUM,False,respinge,ordinanze
9542188EA1,MEDIUM,False,dichiara inammissibile,sentenze
9542789E97,MEDIUM,False,dichiara inammissibile,sentenze
9542848F47,MEDIUM,False,dichiara inammissibile,sentenze
95431020E7,MEDIUM,False,respinge,sentenze
95436927C7,MEDIUM,False,"dichiara improcedibile, dichiara inammissibile",sentenze
954403854F,HIGH,True,respinge,sentenze
95462327DA,MEDIUM,False,dichiara inammissibile,sentenze
95462430F0,HIGH,True,respinge,sentenze
9546943298,HIGH,True,"respinge, respinge sui motivi aggiunti","ordinanze, sentenze"
95477382A6,MEDIUM,False,respinge,sentenze
9549107C5F,MEDIUM,False,dichiara improcedibile,sentenze
9555352DE8,HIGH,True,respinge,ordinanze
9555394095,HIGH,True,respinge,ordinanze
9555806492,HIGH,True,respinge,ordinanze
9557447EC1,MEDIUM,False,dichiara irricevibile,sentenze
95599586E8,MEDIUM,False,respinge,sentenze
9560163016,MEDIUM,False,"dichiara improcedibile, respinge",sentenze
9560259F4A,MEDIUM,False,respinge,sentenze
9560739B67,MEDIUM,False,respinge,sentenze
95610067BE,MEDIUM,False,respinge,sentenze
9561132FB6,HIGH,True,respinge,sentenze
9561645710,MEDIUM,False,respinge,sentenze
95619567B5,HIGH,True,respinge,sentenze
95619892F2,MEDIUM,False,dichiara inammissibile,sentenze
9562682ED0,HIGH,True,respinge,ordinanze
9569619B69,MEDIUM,False,dichiara estinto,sentenze
9569632625,MEDIUM,False,dichiara estinto,sentenze
95696569F2,MEDIUM,False,dichiara estinto,sentenze
9569721F94,MEDIUM,False,respinge,sentenze
9569882474,HIGH,True,"dichiara improcedibile, respinge",sentenze
957044407F,HIGH,True,respinge,"ordinanze, sentenze"
95708524EC,MEDIUM,False,respinge,sentenze
95717054D7,MEDIUM,False,respinge,sentenze
9571811C4E,HIGH,True,"dichiara estinto, dichiara inammissibile, respinge",sentenze
957281158A,HIGH,True,respinge,sentenze
9573512805,MEDIUM,False,dichiara estinto,sentenze
9573557D26,HIGH,True,respinge,sentenze
95747315F9,MEDIUM,False,respinge,sentenze
9576435429,HIGH,True,"dichiara inammissibile, respinge",sentenze
9579879E3A,MEDIUM,False,dichiara improcedibile,sentenze
95798820B8,MEDIUM,False,dichiara improcedibile,sentenze
958029230F,HIGH,True,respinge,"ordinanze, sentenze"
958033568A,MEDIUM,False,respinge,sentenze
958038931B,HIGH,True,respinge,sentenze
958039580D,MEDIUM,False,respinge,sentenze
9580405050,MEDIUM,False,respinge,sentenze
95861060ED,HIGH,True,respinge,ordinanze
