id_categoria,descrizione,macro_gruppo,note
FB,FORNITURA DI BENI,FORNITURE,Codice speciale non-SOA per appalti di forniture beni
FS,FORNITURA DI SERVIZI,SERVIZI,Codice speciale non-SOA per appalti di servizi
AA,ALTRO (sistema qualificazione proprio),ALTRO,SA con sistema di qualificazione proprio (es. Consip)
999,OO.CC. - CATEGORIA NON DEFINITA,ALTRO,Default/non compilato
SS,SETTORI SPECIALI (legacy),SERVIZI,Codice legacy pre-NPA probabilmente Settori Speciali; non nel JSON ufficiale attuale
OG 1,EDIFICI CIVILI E INDUSTRIALI,LAVORI_EDILIZIA,
OG 2,RESTAURO E MANUTENZIONE BENI IMMOBILI SOTTO TUTELA,LAVORI_EDILIZIA,
OG 3,STRADE AUTOSTRADE PONTI VIADOTTI FERROVIE METROPOLITANE AEROPORTI,LAVORI_INFRASTRUTTURE,
OG 4,OPERE D'ARTE NEL SOTTOSUOLO,LAVORI_INFRASTRUTTURE,
OG 5,DIGHE,LAVORI_INFRASTRUTTURE,
OG 6,ACQUEDOTTI GASDOTTI OLEODOTTI IRRIGAZIONE EVACUAZIONE,LAVORI_INFRASTRUTTURE,
OG 7,OPERE MARITTIME E LAVORI DI DRAGAGGIO,LAVORI_INFRASTRUTTURE,
OG 8,OPERE FLUVIALI DIFESA SISTEMAZIONE IDRAULICA BONIFICA,LAVORI_INFRASTRUTTURE,
OG 9,IMPIANTI PER LA PRODUZIONE DI ENERGIA ELETTRICA,LAVORI_IMPIANTI,
OG 10,IMPIANTI TRASFORMAZIONE ALTA/MEDIA TENSIONE E DISTRIBUZIONE ENERGIA,LAVORI_IMPIANTI,
OG 11,IMPIANTI TECNOLOGICI,LAVORI_IMPIANTI,
OG 12,OPERE E IMPIANTI DI BONIFICA E PROTEZIONE AMBIENTALE,LAVORI_IMPIANTI,
OG 13,OPERE DI INGEGNERIA NATURALISTICA,LAVORI_IMPIANTI,
OS 1,LAVORI IN TERRA,LAVORI_SPECIALIZZATI,
OS 2-A,SUPERFICI DECORATE BENI IMMOBILI PATRIMONIO CULTURALE,LAVORI_SPECIALIZZATI,
OS 2-B,BENI CULTURALI MOBILI DI INTERESSE ARCHIVISTICO E LIBRARIO,LAVORI_SPECIALIZZATI,
OS 3,IMPIANTI IDRICO-SANITARIO CUCINE LAVANDERIE,LAVORI_IMPIANTI,
OS 4,IMPIANTI ELETTROMECCANICI TRASPORTATORI,LAVORI_IMPIANTI,
OS 5,IMPIANTI PNEUMATICI E ANTINTRUSIONE,LAVORI_IMPIANTI,
OS 6,FINITURE OPERE GENERALI MATERIALI LIGNEI PLASTICI METALLICI VETROSI,LAVORI_SPECIALIZZATI,
