COD_MODO_RIAGGIUDICAZIONE;MODO_RIAGGIUDICAZIONE
1.0;D.LGS. 163/2006, ART.113 C.4 E FATTISPECIE CONSIMILI
2.0;D.LGS. 163/2006, ART.140 C.1
3.0;
3.0;FALLIMENTO, LIQUIDAZIONE COATTA O CONCORDATO PREVENTIVO, INSOLVENZA CONCORSUALE O LIQUIDAZIONE DELL'APPALTATORE
4.0;
4.0;RISOLUZIONE DEL CONTRATTO
5.0;RECESSO DAL CONTRATTO (CODICE ANTIMAFIA)
5.0;
6.0;
6.0;RECESSO DAL CONTRATTO SU RICHIESTA DELL'APPALTATORE
7.0;DICHIARAZIONE GIUDIZIALE DI INEFFICACIA DEL CONTRATTO
7.0;
8.0;
8.0;REVOCA DELL'AGGIUDICAZIONE DEFINITIVA
