cod_esito;esito
1;AGGIUDICATA
1;Aggiudicata
2;ANNULLATA O REVOCATA SUCCESSIVAMENTE ALLA PUBBLICAZIONE
3;DESERTA
4;SENZA ESITO A SEGUITO DI OFFERTE IRREGOLARI O INAMMISSIBILI, NON CONGRUE O NON APPROPRIATE
5;PROPOSTA DI AGGIUDICAZIONE
6;ANNULLATA/REVOCATA PRIMA DELL'APERTURA DELLE BUSTE AMMINISTRATIVE
7;ANNULLATA/REVOCATA DOPO L'APERTURA DELLE BUSTE AMMINISTRATIVE
90;NON È ANCORA STATO SELEZIONATO UN VINCITORE MA LA GARA È ANCORA IN CORSO.
98;NON È STATO SELEZIONATO NESSUN VINCITORE E LA GARA È CHIUSA.
99;NON AGGIUDICATA
