cod_categoria_merceologica_dpcm_aggregazione;categoria_merceologica_dpcm_aggregazione
1;FARMACI
1;Farmaci
2;Vaccini
2;VACCINI
3;STENT
4;AUSILI PER INCONTINENZA (OSPEDALIERI E TERRITORIALI)
5;PROTESI D'ANCA
6;MEDICAZIONI GENERALI
7;DEFIBRILLATORI
8;PACE-MAKER
8;Pace-maker
9;Aghi e siringhe
9;AGHI E SIRINGHE
10;Servizi integrati per la gestione delle apparecchiature elettromedicali
10;SERVIZI INTEGRATI PER LA GESTIONE DELLE APPARECCHIATURE ELETTROMEDICALI
11;SERVIZI DI PULIZIA PER GLI ENTI DEL SERVIZIO SANITARIO NAZIONALE
12;SERVIZI DI RISTORAZIONE PER GLI ENTI DEL SERVIZIO SANITARIO NAZIONALE
13;SERVIZI DI LAVANDERIA PER GLI ENTI DEL SERVIZIO SANITARIO NAZIONALE
14;SERVIZI DI SMALTIMENTO RIFIUTI SANITARI
15;VIGILANZA ARMATA
16;FACILITY MANAGEMENT IMMOBILI
17;PULIZIA IMMOBILI
17;Pulizia immobili
18;GUARDIANIA
18;Guardiania
19;MANUTENZIONE IMMOBILI E IMPIANTI
19;Manutenzione immobili e impianti
20;GUANTI (CHIRURGICI E NON)
21;SUTURE
22;OSSIGENOTERAPIA
23;Diabetologia territoriale
23;DIABETOLOGIA TERRITORIALE
24;Servizio di trasporto scolastico
24;SERVIZIO DI TRASPORTO SCOLASTICO
25;MANUTENZIONE STRADE (SERVIZI E FORNITURE)
25;Manutenzione strade (servizi e forniture)
999;Lavori oppure beni e servizi non elencati nell'art. 1 dPCM 24 dicembre 2015
999;LAVORI OPPURE BENI E SERVIZI NON ELENCATI NELL'ART. 1 DPCM 24 DICEMBRE 2015
