COD_MOTIVO_URGENZA;MOTIVO_URGENZA
1.0;Somma urgenza beni culturali
1.0;SOMMA URGENZA BENI CULTURALI
2.0;Somma urgenza e protezione civile
2.0;SOMMA URGENZA E PROTEZIONE CIVILE
4.0;Procedura negoziata per estrema urgenza
4.0;PROCEDURA NEGOZIATA PER ESTREMA URGENZA
5.0;Estrema urgenza per vincolo idrogeologico, normativa antisismica e messa in sicurezza edifici scolastici
5.0;ESTREMA URGENZA PER VINCOLO IDROGEOLOGICO, NORMATIVA ANTISISMICA E MESSA IN SICUREZZA EDIFICI SCOLASTICI
7.0;non applicabile
7.0;NON APPLICABILE
7.0;
