cod_categoria;descrizione_categoria
999;* OO.CC. - CATEGORIA NON DEFINITA
999;OO.CC. - CATEGORIA NON DEFINITA
AA;ALTRO (STAZIONI APPALTANTI CON SISTEMA DI QUALIFICAZIONE PROPRIO)
FB;FORNITURA DI BENI
FS;FORNITURA DI SERVIZI
OG 1;OG 1 - EDIFICI CIVILI E INDUSTRIALI 
OG 10;OG 10 - IMPIANTI PER LA TRASFORMAZIONE ALTA/MEDIA TENSIONE E PER LA DISTRIBUZIONE DI ENERGIA ELETTRICA IN CORRENTE ALTERNATA E CONTINUA ED IMPIANTI DI PUBBLICA ILLUMINAZIONE
OG 11;OG 11 - IMPIANTI TECNOLOGICI
OG 11;OG 11 - IMPIANTI TECNOLOGICI 
OG 12;OG 12 - OPERE ED IMPIANTI DI BONIFICA E PROTEZIONE AMBIENTALE
OG 12;OG 12 - OPERE ED IMPIANTI DI BONIFICA E PROTEZIONE AMBIENTALE 
OG 13;OG 13 - OPERE DI INGEGNERIA NATURALISTICA
OG 13;OG 13 - OPERE DI INGEGNERIA NATURALISTICA 
OG 2;OG 2 - RESTAURO E MANUTENZIONE DEI BENI IMMOBILI SOTTOPOSTI A TUTELA
OG 3;OG 3 - STRADE, AUTOSTRADE, PONTI, VIADOTTI, FERROVIE, METROPOLITANE
OG 4;OG 4 - OPERE D'ARTE NEL SOTTOSUOLO
OG 5;OG 5 - DIGHE 
OG 6;OG 6 - ACQUEDOTTI, GASDOTTI , OLEODOTTI, OPERE DI IRRIGAZIONE E DI EVACUAZIONE
OG 6;OG 6 - ACQUEDOTTI, GASDOTTI , OLEODOTTI, OPERE DI IRRIGAZIONE E DI EVACUAZIONE 
OG 7;OG 7 - OPERE MARITTIME E LAVORI DI DRAGAGGIO
OG 7;OG 7 - OPERE MARITTIME E LAVORI DI DRAGAGGIO 
OG 8;OG 8 - OPERE FLUVIALI, DI DIFESA, DI SISTEMAZIONE IDRAULICA E DI BONIFICA
OG 8;OG 8 - OPERE FLUVIALI, DI DIFESA, DI SISTEMAZIONE IDRAULICA E DI BONIFICA 
OG 9;OG 9 - IMPIANTI PER LA PRODUZIONE DI ENERGIA ELETTRICA
OG 9;OG 9 - IMPIANTI PER LA PRODUZIONE DI ENERGIA ELETTRICA 
OG1;OG1 - EDIFICI CIVILI E INDUSTRIALI
OG10;OG10 - IMPIANTI PER LA TRASFORMAZIONE ALTA/MEDIA TENSIONE E PER LA DISTRIBUZIONE DI ENERGIA ELETTRICA IN CORRENTE ALTERNATA E CONTINUA
OG11;OG11 - IMPIANTI TECNOLOGICI
OG12;OG12 - OPERE ED IMPIANTI DI BONIFICA E PROTEZIONE AMBIENTALE
OG13;OG13 - OPERE DI INGEGNERIA NATURALISTICA
OG2;OG2 - RESTAURO E MANUTENZIONE DEI BENI IMMOBILI SOTTOPOSTI A TUTELA AI SENSI DELLE DISPOSIZIONI IN MATERIA DI BENI CULTURALI E AMBIENTALI
OG3;OG3 - STRADE, AUTOSTRADE, PONTI, VIADOTTI, FERROVIE, METROPOLITANE, FUNICOLARI, PISTE AEROPORTUALI E RELATIVE OPERE COMPLEMENTARI
OG4;OG4 - OPERE D'ARTE NEL SOTTOSUOLO
OG5;OG5 - DIGHE
OG6;OG6 - ACQUEDOTTI, GASDOTTI, OLEODOTTI, OPERE DI IRRIGAZIONE E DI EVACUAZIONE
OG7;OG7 - OPERE MARITTIME E LAVORI DI DRAGAGGIO
OG8;OG8 - OPERE FLUVIALI, DI DIFESA, DI SISTEMAZIONE IDRAULICA E DI BONIFICA
OG9;OG9 - IMPIANTI PER LA PRODUZIONE DI ENERGIA ELETTRICA
OS 1;OS 1 - LAVORI IN TERRA 
OS 10;OS 10 - SEGNALETICA STRADALE NON LUMINOSA
OS 11;OS 11 - APPARECCHIATURE STRUTTURALI SPECIALI
OS 12-A;OS 12-A - BARRIERE STRADALI DI SICUREZZA
OS 12-B;OS 12-B - BARRIERE PARAMASSI, FERMANEVE E SIMILI
OS 13;OS 13 - STRUTTURE PREFABBRICATE IN CEMENTO ARMATO
OS 14;OS 14 - IMPIANTI DI SMALTIMENTO E RECUPERO RIFIUTI
OS 15;OS 15 - PULIZIA DI ACQUE MARINE, LACUSTRI, FLUVIALI
OS 16;OS 16 - IMPIANTI PER CENTRALI PRODUZIONE ENERGIA ELETTRICA
OS 17;OS 17 - LINEE TELEFONICHE ED IMPIANTI DI TELEFONIA
OS 18-A;OS 18-A - COMPONENTI STRUTTURALI IN ACCIAIO
OS 18-B;OS 18-B - COMPONENTI PER FACCIATE CONTINUE
OS 19;OS 19 - IMPIANTI DI RETI DI TELECOMUNICAZIONE E DI TRASMISSIONI E TRATTAMENTO
OS 2-A;OS 2-A - SUPERFICI DECORATE DI BENI IMMOBILI DEL PATRIMONIO CULTURALE E BENI CULTURALI MOBILI DI INTERESSE STORICO, ARTISTICO, ARCHEOLOGICO ED ETNOANTROPOLOGICO 
OS 2-A;OS 2-A - SUPERFICI DECORATE DI BENI IMMOBILI DEL PATRIMONIO CULTURALE E BENI CULTURALI MOBILI DI INTERESSE STORICO, ARTISTICO, ARCHEOLOGICO ED ETNOANTROPOLOGICO
OS 2-B;OS 2-B - BENI CULTURALI MOBILI DI INTERESSE ARCHIVISTICO E LIBRARIO 
OS 20-A;OS 20-A - RILEVAMENTI TOPOGRAFICI
OS 20-B;OS 20-B - INDAGINI GEOGNOSTICHE
OS 21;OS 21 - OPERE STRUTTURALI SPECIALI
OS 22;OS 22 - IMPIANTI DI POTABILIZZAZIONE E DEPURAZIONE
OS 23;OS 23 - DEMOLIZIONE DI OPERE
OS 24;OS 24 - VERDE E ARREDO URBANO
OS 25;OS 25 - SCAVI ARCHEOLOGICI
OS 26;OS 26 - PAVIMENTAZIONI E SOVRASTRUTTURE SPECIALI
OS 27;OS 27 - IMPIANTI PER LA TRAZIONE ELETTRICA
OS 28;OS 28 - IMPIANTI TERMICI E DI CONDIZIONAMENTO
OS 29;OS 29 - ARMAMENTO FERROVIARIO
OS 3;OS 3 - IMPIANTI IDRICO-SANITARIO, CUCINE, LAVANDERIE
OS 3;OS 3 - IMPIANTI IDRICO-SANITARIO, CUCINE, LAVANDERIE 
OS 30;OS 30 - IMPIANTI INTERNI ELETTRICI, TELEFONICI, RADIOTELEFONICI E TELEVISIVI
OS 31;OS 31 - IMPIANTI PER LA MOBILITÀ SOSPESA
OS 32;OS 32 - STRUTTURE IN LEGNO
OS 33;OS 33 - COPERTURE SPECIALI
OS 34;OS 34 - SISTEMI ANTIRUMORE PER INFRASTRUTTURE DI MOBILITÀ
OS 35;OS 35 - INTERVENTI A BASSO IMPATTO AMBIENTALE
OS 4;OS 4 - IMPIANTI ELETTROMECCANICI TRASPORTATORI
OS 4;OS 4 - IMPIANTI ELETTROMECCANICI TRASPORTATORI 
OS 5;OS 5 - IMPIANTI PNEUMATICI E ANTINTRUSIONE 
OS 5;OS 5 - IMPIANTI PNEUMATICI E ANTINTRUSIONE
OS 6;OS 6 - FINITURE DI OPERE GENERALI IN MATERIALI LIGNEI, PLASTICI, METALLICI E VETROSI 
OS 6;OS 6 - FINITURE DI OPERE GENERALI IN MATERIALI LIGNEI, PLASTICI, METALLICI E VETROSI
OS 7;OS 7 - FINITURE DI OPERE GENERALI DI NATURA EDILE E TECNICA
OS 8;OS 8 - OPERE DI IMPERMEABILIZZAZIONE
OS 9;OS 9 - IMPIANTI PER LA SEGNALETICA LUMINOSA E LA SICUREZZA DEL TRAFFICO
OS1;OS1 - LAVORI IN TERRA
OS10;OS10 - SEGNALETICA STRADALE NON LUMINOSA
OS11;OS11 - APPARECCHIATURE STRUTTURALI SPECIALI
OS12;OS12 - BARRIERE E PROTEZIONI STRADALI
OS13;OS13 - STRUTTURE PREFABBRICATE IN CEMENTO ARMATO
OS14;OS14 - IMPIANTI DI SMALTIMENTO E RECUPERO RIFIUTI
OS15;OS15 - PULIZIA DI ACQUE MARINE, LACUSTRI, FLUVIALI
OS16;OS16 - IMPIANTI PER CENTRALI PRODUZIONE ENERGIA ELETTRICA
