cod_motivo_variante;motivo_variante_piu_comune
1.0;ART.132 C.1 LETT. A) D.LGS.163/2006
2.0;ART.132 C.1 LETT. B) D.LGS.163/2006
3.0;ART.132 C.1 LETT. C) D.LGS.163/2006
4.0;ART.132 C.1 LETT. D) D.LGS.163/2006
5.0;ART.132 C.1 LETT. E) D.LGS.163/2006
6.0;ART.132 C.3 II CV D.LGS.163/2006
7.0;SOPRAVVENUTE ESIGENZE NORMATIVE E REGOLAMENTARI
8.0;ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
9.0;EVENTI DIPENDENTI DALLA NATURA E SPECIFICITA' DEI BENI E DEI LUOGHI
10.0;MIGLIORAMENTO O MIGLIORE FUNZIONALITA' DELLE PRESTAZIONI
11.0;ART. 205 C.1 D.LGS 163/2006
12.0;ART. 205 C.3 D.LGS 163/2006
13.0;ART. 205 C.4 D.LGS 163/2006
14.0;ERRORI O OMISSIONI NEL PROGETTO ESECUTIVO
15.0;LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE
16.0;ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
17.0;MODIFICHE PREVISTE DAI DOCUMENTI DI GARA INIZIALI
18.0;PROROGA TECNICA
19.0;RINNOVO PREVISTO NEI DOCUMENTI DI GARA
20.0;MODIFICHE CONTRATTUALI NEL SETTORE DEI BENI CULTURALI
21.0;VARIANTI IN CORSO DU2019OPERA NEL SETTORE DEI BENI CULTURALI
22.0;REVISIONE DEI PREZZI
96.0;MODIFICHE BASATE SU CLAUSOLE DI REVISIONE DEI PREZZI O OPZIONI.
97.0;MODIFICHE DOVUTE AL FATTO CHE UN NUOVO CONTRAENTE SOSTITUISCE L'AGGIUDICATARIO INIZIALE PERCHÉ GLI SUCCEDE O PERCHÉ IL COMMITTENTE SI ASSUME GLI OBBLIGHI DEL CONTRAENTE PRINCIPALE NEI CONFRONTI DEI SUOI SUBAPPALTATORI.
98.0;LE MODIFICHE NON SONO SOSTANZIALI.
99.0;-
