CIG,fonte,motivo
64965946F6,sentenza_TAR,
7554714B34,sentenza_TAR,
76617292C9,sentenza_TAR,
7764012961,sentenza_TAR,
790711126B,sentenza_TAR,
79580159B8,sentenza_TAR,
79722783ED,sentenza_TAR,
8083524F04,sentenza_TAR,
81530784CE,sentenza_TAR,
81647905DA,sentenza_TAR,
82166176D8,sentenza_TAR,
8479422066,sentenza_TAR,
8482363B60,sentenza_TAR,
8503918721,sentenza_TAR,
857810080D,sentenza_TAR,
86356858B2,sentenza_TAR,
8763750B46,sentenza_TAR,
88311152A4,sentenza_TAR,
89103193D9,sentenza_TAR,
8931596A2D,sentenza_TAR,
8953280064,sentenza_TAR,
8955902421,sentenza_TAR,
8956266084,sentenza_TAR,
89932909AD,sentenza_TAR,
9039156381,sentenza_TAR,
9091270157,sentenza_TAR,
91486611E4,sentenza_TAR,
9190971534,sentenza_TAR,
9195557DAE,sentenza_TAR,
9201046F58,sentenza_TAR,
924913212F,sentenza_TAR,
92498165A2,sentenza_TAR,
92788361B3,sentenza_TAR,
93073013C2,sentenza_TAR,
9323549408,sentenza_TAR,
93235569CD,sentenza_TAR,
9323599D48,sentenza_TAR,
9342015AA6,sentenza_TAR,
934653088C,sentenza_TAR,
9349203661,sentenza_TAR,
9360720682,sentenza_TAR,
9399686246,sentenza_TAR,
9399687319,sentenza_TAR,
9399691665,sentenza_TAR,
9399912CC3,sentenza_TAR,
940240560F,sentenza_TAR,
94025204F6,sentenza_TAR,
940462915E,sentenza_TAR,
9420466E75,sentenza_TAR,
9420542D2D,sentenza_TAR,
94233992DC,sentenza_TAR,
9424068AED,sentenza_TAR,
942868904F,sentenza_TAR,
9428970830,sentenza_TAR,
9440796750,sentenza_TAR,
9447040806,sentenza_TAR,
9449309876,sentenza_TAR,
945116219D,sentenza_TAR,
94572555B6,sentenza_TAR,
9464220968,sentenza_TAR,
946793966D,sentenza_TAR,
9468259E7D,sentenza_TAR,
9468279EFE,sentenza_TAR,
9468298EAC,sentenza_TAR,
9478461176,sentenza_TAR,
9503782103,sentenza_TAR,
9507335509,sentenza_TAR,
95209665B1,sentenza_TAR,
9522366901,sentenza_TAR,
9529409D11,sentenza_TAR,
9531846826,sentenza_TAR,
9536121000,sentenza_TAR,
9536580AC4,sentenza_TAR,
9546667ED1,sentenza_TAR,
954927248B,sentenza_TAR,
9555371D96,sentenza_TAR,
955803974C,sentenza_TAR,
9561690C31,sentenza_TAR,
9561751E87,sentenza_TAR,
956513571A,sentenza_TAR,
957024827D,sentenza_TAR,
959394450B,sentenza_TAR,
959981953F,sentenza_TAR,
9609426D2F,sentenza_TAR,
96123813BD,sentenza_TAR,
9620495B9D,sentenza_TAR,
9620945EF6,sentenza_TAR,
9624577432,sentenza_TAR,
9625021299,sentenza_TAR,
9628389DF2,sentenza_TAR,
9628467E50,sentenza_TAR,
9631959005,sentenza_TAR,
9632441DC3,sentenza_TAR,
9635008421,sentenza_TAR,
9637542F3D,sentenza_TAR,
9637823723,sentenza_TAR,
9640970C1E,sentenza_TAR,
9644448244,sentenza_TAR,
9644910F81,sentenza_TAR,
9645077953,sentenza_TAR,
9651313371,sentenza_TAR,
9653868FE1,sentenza_TAR,
967192335A,sentenza_TAR,
9673912CB7,sentenza_TAR,
9680476582,sentenza_TAR,
9684984D9E,sentenza_TAR,
9686950406,sentenza_TAR,
9711369B36,sentenza_TAR,
9712304ECB,sentenza_TAR,
9717305DC0,sentenza_TAR,
9721786F96,sentenza_TAR,
9723724EE0,sentenza_TAR,
9734134D7B,sentenza_TAR,
97402661C8,sentenza_TAR,
97419943C5,sentenza_TAR,
974489803B,sentenza_TAR,
97449001E1,sentenza_TAR,
9744902387,sentenza_TAR,
974490452D,sentenza_TAR,
974625935C,sentenza_TAR,
9751333E8B,sentenza_TAR,
9752065A9D,sentenza_TAR,
97533986A5,sentenza_TAR,
9759008C28,sentenza_TAR,
9770925662,sentenza_TAR,
9773825F87,sentenza_TAR,
9774911FB9,sentenza_TAR,
977990159D,sentenza_TAR,
9784812A4B,sentenza_TAR,
97962698E9,sentenza_TAR,
9796512173,sentenza_TAR,
9799863EC4,sentenza_TAR,
98014078EC,sentenza_TAR,
9809169E52,sentenza_TAR,
9818492BE8,sentenza_TAR,
9824134BD5,sentenza_TAR,
9826732BC5,sentenza_TAR,
98309894C4,sentenza_TAR,
98313384C5,sentenza_TAR,
98390977B2,sentenza_TAR,
9839653287,sentenza_TAR,
98412318BA,sentenza_TAR,
9844395BBD,sentenza_TAR,
9845557AA7,sentenza_TAR,
98457054CB,sentenza_TAR,
9850124378,sentenza_TAR,
9850338411,sentenza_TAR,
985179673E,sentenza_TAR,
986207059E,sentenza_TAR,
9871500B7E,sentenza_TAR,
987201005F,sentenza_TAR,
9879022AD8,sentenza_TAR,
9879256BF2,sentenza_TAR,
9881099CD6,sentenza_TAR,
98820372E9,sentenza_TAR,
9884290624,sentenza_TAR,
9892032B09,sentenza_TAR,
989208786D,sentenza_TAR,
9892091BB9,sentenza_TAR,
9893143FDB,sentenza_TAR,
9893506B6B,sentenza_TAR,
9893828526,sentenza_TAR,
98992038BC,sentenza_TAR,
9899576C8A,sentenza_TAR,
9899950130,sentenza_TAR,
99078654D9,sentenza_TAR,
9914459663,sentenza_TAR,
991502162A,sentenza_TAR,
991565408A,sentenza_TAR,
9915747D45,sentenza_TAR,
99163574AB,sentenza_TAR,
99181479D1,sentenza_TAR,
992233490A,sentenza_TAR,
9925712CA6,sentenza_TAR,
9925827B8D,sentenza_TAR,
9932002355,sentenza_TAR,
9936882E6C,sentenza_TAR,
99407148B2,sentenza_TAR,
9947583D2B,sentenza_TAR,
99598708BA,sentenza_TAR,
99678680E5,sentenza_TAR,
9967902CF0,sentenza_TAR,
99692640E9,sentenza_TAR,
9980572490,sentenza_TAR,
99836028FE,sentenza_TAR,
A000E4AB7D,sentenza_TAR,
A002A106DA,sentenza_TAR,
A002A3CB28,sentenza_TAR,
A002F1399D,sentenza_TAR,
A003DA4EE0,sentenza_TAR,
A0083F01A9,sentenza_TAR,
A008D28D2E,sentenza_TAR,
A00A65863F,sentenza_TAR,
A00C433972,sentenza_TAR,
A00E8AC297,sentenza_TAR,
A0134ACA2E,sentenza_TAR,
A0145C77D9,sentenza_TAR,
A014D85B71,sentenza_TAR,
A0159C89D4,sentenza_TAR,
A015E188E1,sentenza_TAR,
A015ED65AD,sentenza_TAR,
A015EF6017,sentenza_TAR,
A01817145B,sentenza_TAR,
A01856FFB9,sentenza_TAR,
A01911F4D0,sentenza_TAR,
A01912381C,sentenza_TAR,
A019CC94F0,sentenza_TAR,
A019CD5ED4,sentenza_TAR,
A01A279677,sentenza_TAR,
A01A6C84B1,sentenza_TAR,
A01A91F301,sentenza_TAR,
A01AC6675D,sentenza_TAR,
A01AE3ECDD,sentenza_TAR,
A01B25F523,sentenza_TAR,
A01BDD8CD1,sentenza_TAR,
A01CD5EC44,sentenza_TAR,
A01CED3017,sentenza_TAR,
A01D36773F,sentenza_TAR,
A01D4C68E6,sentenza_TAR,
A01D6C8113,sentenza_TAR,
A01D7DB402,sentenza_TAR,
A01DC07559,sentenza_TAR,
A01E056393,sentenza_TAR,
A01EAB95D9,sentenza_TAR,
A01EEC08A7,sentenza_TAR,
A01FCBA152,sentenza_TAR,
A020557CEE,sentenza_TAR,
A021A2AC36,sentenza_TAR,
A022743B32,sentenza_TAR,
A022BCFBC2,sentenza_TAR,
A02369E72A,sentenza_TAR,
A023991636,sentenza_TAR,
A024441807,sentenza_TAR,
A024B365C2,sentenza_TAR,
A024CFDD3A,sentenza_TAR,
A024E8F8F9,sentenza_TAR,
A025EDCCA3,sentenza_TAR,
A028274C19,sentenza_TAR,
A028B9EC14,sentenza_TAR,
A0291F35C7,sentenza_TAR,
A02B31A17A,sentenza_TAR,
A02BE74F91,sentenza_TAR,
A02C84BE50,sentenza_TAR,
A02C8BCB91,sentenza_TAR,
A02D3A084D,sentenza_TAR,
A02D3BD03E,sentenza_TAR,
A02D514B48,sentenza_TAR,
A02D9A71A2,sentenza_TAR,
A02FEDD6BB,sentenza_TAR,
A03005E472,sentenza_TAR,
A03098739A,sentenza_TAR,
A032C80FD6,sentenza_TAR,
A032D9EBDB,sentenza_TAR,
A032F0B911,sentenza_TAR,
A0337738F4,sentenza_TAR,
A033EA4832,sentenza_TAR,
A0340A4EB4,sentenza_TAR,
A0349F0ABF,sentenza_TAR,
A0360B984B,sentenza_TAR,
A03640C690,sentenza_TAR,
A036D9441E,sentenza_TAR,
A038B28CB8,sentenza_TAR,
A0391A9AB9,sentenza_TAR,
A039EFEB38,sentenza_TAR,
A03A214727,sentenza_TAR,
A03A2EEB0C,sentenza_TAR,
A03B356501,sentenza_TAR,
A03BC7A00A,sentenza_TAR,
A03C7EE399,sentenza_TAR,
A03CCADE3C,sentenza_TAR,
A03D5D4BBE,sentenza_TAR,
A03F0D548A,sentenza_TAR,
A03F434CB3,sentenza_TAR,
A03FA1EE17,sentenza_TAR,
A03FA22168,sentenza_TAR,
A03FE11069,sentenza_TAR,
A03FFE95E9,sentenza_TAR,
A0405B91DA,sentenza_TAR,
A041B4F20D,sentenza_TAR,
A0422ECA68,sentenza_TAR,
A042314B6A,sentenza_TAR,
A042951150,sentenza_TAR,
A0434034C7,sentenza_TAR,
A043509CFA,sentenza_TAR,
A043D280A3,sentenza_TAR,
A043DB2284,sentenza_TAR,
A04424DF71,sentenza_TAR,
A04551F764,sentenza_TAR,
A0469EA014,sentenza_TAR,
A05224A6BE,sentenza_TAR,
B0010E0E9C,sentenza_TAR,
B00AA5A5C1,sentenza_TAR,
B00D4A0859,sentenza_TAR,
B01FC8EDD2,sentenza_TAR,
B02584D3EB,sentenza_TAR,
B02F4F284E,sentenza_TAR,
B03FD26F4A,sentenza_TAR,
B05166AAE0,sentenza_TAR,
B05E90461F,sentenza_TAR,
B065DC1BFF,sentenza_TAR,
B06825C134,sentenza_TAR,
B06E9F8180,sentenza_TAR,
B0889EC2E0,sentenza_TAR,
B08A5C09C7,sentenza_TAR,
B08C783636,sentenza_TAR,
B0932E8627,sentenza_TAR,
B09CFF82D9,sentenza_TAR,
B0A5ECAEC0,sentenza_TAR,
B0AD6A78D2,sentenza_TAR,
B0B2BBCF10,sentenza_TAR,
B0B78BEB93,sentenza_TAR,
B0C21B3915,sentenza_TAR,
B0C2C2DE55,sentenza_TAR,
B0C2C2EF28,sentenza_TAR,
B0C398949E,sentenza_TAR,
B0CAFF6EFC,sentenza_TAR,
B0CBBEBD01,sentenza_TAR,
B0D357CEDD,sentenza_TAR,
B0DCD4C676,sentenza_TAR,
B0E67B747A,sentenza_TAR,
B0F38FD723,sentenza_TAR,
B0F75CC56F,sentenza_TAR,
B101E6897D,sentenza_TAR,
B101E69A50,sentenza_TAR,
B102EB2AAE,sentenza_TAR,
B106E7DF71,sentenza_TAR,
B10B9F7878,sentenza_TAR,
B111930D00,sentenza_TAR,
B113749361,sentenza_TAR,
B11499900B,sentenza_TAR,
B11AE561CC,sentenza_TAR,
B12A8EBB37,sentenza_TAR,
B1310A651A,sentenza_TAR,
B1310A75ED,sentenza_TAR,
B13917C6B5,sentenza_TAR,
B13CA6A18F,sentenza_TAR,
B144FC4D1D,sentenza_TAR,
B14643C150,sentenza_TAR,
B14AC83677,sentenza_TAR,
B14AC8474A,sentenza_TAR,
B14AC8581D,sentenza_TAR,
B14E7E46BA,sentenza_TAR,
B152C988CD,sentenza_TAR,
B15A952646,sentenza_TAR,
B15BE4B4EA,sentenza_TAR,
B15FB32703,sentenza_TAR,
B161D1D474,sentenza_TAR,
B165CF973F,sentenza_TAR,
B16CFC74A5,sentenza_TAR,
B16D02A657,sentenza_TAR,
B1708BA39E,sentenza_TAR,
B173D724DE,sentenza_TAR,
B179A275F5,sentenza_TAR,
B1876F4BDB,sentenza_TAR,
B18FB43B17,sentenza_TAR,
B1946EDBB8,sentenza_TAR,
B198C95728,sentenza_TAR,
B1A12E1A6D,sentenza_TAR,
B1B6D7B0C0,sentenza_TAR,
B1C2EA9B78,sentenza_TAR,
B1CCEB91F2,sentenza_TAR,
B1CF85476C,sentenza_TAR,
B1D87C2414,sentenza_TAR,
B1D8F5977D,sentenza_TAR,
B1DC92F1CB,sentenza_TAR,
B1E0F8D36A,sentenza_TAR,
B1E37C0FCD,sentenza_TAR,
B1E8EB3087,sentenza_TAR,
B1EAD74188,sentenza_TAR,
B1EF72B65E,sentenza_TAR,
B1F34BC4C2,sentenza_TAR,
B1FC341123,sentenza_TAR,
B1FF37BD5D,sentenza_TAR,
B1FF6600DF,sentenza_TAR,
B20E04983A,sentenza_TAR,
B212ED05C0,sentenza_TAR,
B2193BEFEE,sentenza_TAR,
B221ECD12C,sentenza_TAR,
B226AA2548,sentenza_TAR,
B22C5F523F,sentenza_TAR,
B23006C168,sentenza_TAR,
