CIG,fonte,motivo
50726123D8,sentenza_TAR,dichiara estinto
6339868095,sentenza_TAR,dichiara estinto
6478528A6C,sentenza_TAR,dichiara estinto
6478532DB8,sentenza_TAR,dichiara inammissibile
65306173A2,sentenza_TAR,respinge
666660614F,sentenza_TAR,dichiara inammissibile
679639850D,sentenza_TAR,respinge
6820564B75,sentenza_TAR,respinge
7044856F11,sentenza_TAR,respinge
7115231A5C,sentenza_TAR,dichiara inammissibile
7115272C31,sentenza_TAR,dichiara inammissibile
72163429CC,sentenza_TAR,respinge
7320754D4D,sentenza_TAR,respinge
7336515BB1,ordinanza_TAR,respinge
7381083660,ordinanza_TAR,respinge
7516688729,sentenza_TAR,respinge
7539115283,sentenza_TAR,respinge
778793359E,sentenza_TAR,respinge
7810624AD1,sentenza_TAR,respinge
78192866EE,sentenza_TAR,"dichiara inammissibile, respinge"
7901951041,sentenza_TAR,respinge
7901990070,sentenza_TAR,respinge
7904089495,sentenza_TAR,respinge
7904119D54,sentenza_TAR,respinge sui motivi aggiunti
7904120E27,sentenza_TAR,respinge sui motivi aggiunti
7904143126,sentenza_TAR,dichiara irricevibile
791855022E,sentenza_TAR,"dichiara improcedibile, respinge"
7993597CE9,sentenza_TAR,respinge
8084802DA8,sentenza_TAR,dichiara improcedibile
81279135FD,sentenza_TAR,respinge
8128666363,sentenza_TAR,respinge
8128672855,sentenza_TAR,respinge
8128676BA1,sentenza_TAR,respinge
812868316B,sentenza_TAR,respinge
8128685311,sentenza_TAR,respinge
81286928D6,sentenza_TAR,respinge
8128706465,sentenza_TAR,respinge
8128716CA3,sentenza_TAR,respinge
8128731905,sentenza_TAR,respinge
8128734B7E,sentenza_TAR,respinge
8128741148,sentenza_TAR,respinge
8128745494,sentenza_TAR,respinge
81287497E0,sentenza_TAR,respinge
816462098F,sentenza_TAR,"dichiara irricevibile, respinge"
816463993D,sentenza_TAR,respinge
8164655672,sentenza_TAR,respinge
8164660A91,sentenza_TAR,respinge
8164686009,sentenza_TAR,respinge
81647157F5,sentenza_TAR,"dichiara inammissibile, respinge"
8164723E8D,sentenza_TAR,"dichiara inammissibile, respinge"
816472610B,sentenza_TAR,"dichiara inammissibile, respinge"
8164760D16,sentenza_TAR,"dichiara inammissibile, respinge"
8164769486,sentenza_TAR,"dichiara inammissibile, respinge"
81647748A5,sentenza_TAR,"dichiara improcedibile, dichiara inammissibile, respinge"
8164787361,sentenza_TAR,respinge
81647916AD,sentenza_TAR,respinge
842931284F,sentenza_TAR,respinge
8438707151,sentenza_TAR,respinge
8488899D0D,sentenza_TAR,respinge
8543533A75,sentenza_TAR,respinge
85484525C0,sentenza_TAR,dichiara improcedibile
