cig,fold,label,score_raw,score_calib_pf,score_calib_gl
0123031862,1.0,,0.00039999999999999996,0.3857451929337988,0.3856784365598707
011473062F,3.0,,0.0714666666666666,0.3720819308731332,0.37203535997574383
0121185505,0.0,,0.04173333333333328,0.3777750139630698,0.37772005478909854
0113227DDC,0.0,,0.0008,0.3856677601303616,0.3856011186366831
0113728B4D,0.0,,0.040866666666666614,0.37794147111701665,0.37788626616802407
0121505D15,1.0,,0.0,0.3858226315200308,0.3857557602524469
01247860AA,1.0,,0.018133333333333345,0.38231794377991357,0.3822562673245205
0115109EEF,2.0,,0.0010666666666666665,0.38561614147578926,0.3855495765614882
0126155A63,1.0,,0.0,0.3858226315200308,0.3857557602524469
011820168B,3.0,,0.0,0.3858226315200308,0.3857557602524469
131297908C,1.0,,0.0,0.3858226315200308,0.3857557602524469
0116292F2D,3.0,,0.033733333333333344,0.37931263152212025,0.3792554009994559
01136467A3,2.0,,0.0,0.3858226315200308,0.3857557602524469
012053087E,2.0,,0.020000000000000014,0.3819578542108105,0.3818967108950609
0107424914,2.0,,0.1058666666666666,0.365539410695413,0.36550243314115216
0123168970,2.0,,0.18813333333333324,0.35009662801185953,0.3500820558971201
0115827F72,2.0,,0.0037333333333333346,0.38510009659962685,0.38503429714997695
0114221226,2.0,,0.0,0.3858226315200308,0.3857557602524469
01129243D4,0.0,1.0,0.1211999999999999,0.36263892353053206,0.36260618126545485
0118908DF8,3.0,,0.029733333333333334,0.3800823524035743,0.3800239839936079
0118135016,3.0,,0.4694666666666667,0.29975408491608857,0.2998091230272611
077985223A,3.0,,0.0,0.3858226315200308,0.3857557602524469
34645182B2,3.0,,0.0,0.3858226315200308,0.3857557602524469
01050122A4,2.0,,0.3254666666666665,0.32501515395309394,0.32503604137202324
0119540785,1.0,,0.18879999999999997,0.3499727078092117,0.3499583139417056
0120954664,1.0,,0.0,0.3858226315200308,0.3857557602524469
01190925D2,2.0,,0.2179999999999999,0.34456505784199726,0.34455841556088024
01157407A9,2.0,,0.009733333333333337,0.3839399416158145,0.38387586225465226
22389296A7,2.0,,0.0,0.3858226315200308,0.3857557602524469
01211632DE,3.0,,0.0010666666666666667,0.38561614147578926,0.3855495765614882
0113286E8C,2.0,,0.0,0.3858226315200308,0.3857557602524469
0114455340,0.0,,0.792,0.2475010081529358,0.24761951820491596
01156540B3,0.0,,0.0,0.3858226315200308,0.3857557602524469
0117042A1A,0.0,,0.5092000000000001,0.2929846735252756,0.29304853431691213
0117360089,0.0,,0.002266666666666667,0.3853838893824517,0.3853176690014025
32757881C6,0.0,,0.0,0.3858226315200308,0.3857557602524469
0116829A54,3.0,,0.1922666666666666,0.34932864950498854,0.3493151816208145
0105953B2B,1.0,,0.04199999999999996,0.377723802171689,0.37766891860663515
01263814E5,1.0,,0.019866666666666675,0.38198357059956567,0.3819223892126306
012740411B,0.0,,0.0,0.3858226315200308,0.3857557602524469
01207817A0,3.0,,0.0013333333333333333,0.38556452539393055,0.3854980370530369
01270171BE,0.0,,0.0,0.3858226315200308,0.3857557602524469
0130222696,0.0,,0.016933333333333342,0.3825494982205991,0.3824874788703174
013116726E,0.0,,0.0,0.3858226315200308,0.3857557602524469
0125325D72,0.0,,0.0015999999999999999,0.38551291188581815,0.3854465001123572
0123133C8D,2.0,,0.057666666666666595,0.374719932031664,0.3746694786251159
01532100E4,0.0,,0.0,0.3858226315200308,0.3857557602524469
0129031FBB,0.0,,0.0,0.3858226315200308,0.3857557602524469
012382037E,1.0,,0.0,0.3858226315200308,0.3857557602524469
0121870A4B,3.0,,0.0005333333333333334,0.3857193813566147,0.3856526632775935
012484622D,3.0,,0.0034666666666666674,0.38515168948062123,0.38508581351150456
0168770966,0.0,,0.00013333333333333334,0.385796818015636,0.38572998504742595
0128929B90,2.0,,0.3801333333333336,0.31529440554442195,0.31532864620744344
01243611F1,1.0,,0.17533333333333326,0.35247980453149885,0.35246179931164995
0126115961,3.0,,0.0002666666666666667,0.38577100515351564,0.38570421048319103
0120743844,1.0,,0.4233333333333335,0.30772487146194255,0.3077693322428971
0127380D49,2.0,,0.0,0.3858226315200308,0.3857557602524469
0120516CEF,3.0,,0.0009333333333333334,0.3856419504815507,0.38557534727830695
00836917FD,1.0,1.0,0.29666666666666663,0.3301983064859875,0.3302119774778878
0126203202,2.0,,0.0,0.3858226315200308,0.3857557602524469
0125270013,2.0,,0.3837333333333334,0.3146597784940893,0.31469488222563946
0122472B14,1.0,,0.026800000000000015,0.3806471981608512,0.3805879943746639
01232973E6,3.0,,0.0802666666666666,0.37040368630059234,0.3703595812282406
0131532F9F,1.0,,0.049066666666666585,0.37636768699797424,0.3763148046234393
01278934A3,1.0,,0.022933333333333344,0.38139226120889036,0.3813319550597717
01198642E6,0.0,,0.5914666666666667,0.2792579358604074,0.27933919086510195
01251572D2,2.0,,0.0015999999999999999,0.38551291188581815,0.3854465001123572
01300844B5,0.0,,0.00039999999999999996,0.3857451929337988,0.3856784365598707
0053041ACE,1.0,,0.16413333333333313,0.3545711285269368,0.35455010278406085
011496581C,3.0,,0.24720000000000003,0.3391973631571986,0.3391983604704856
012915888B,2.0,,0.0,0.3858226315200308,0.3857557602524469
2769271AB6,2.0,,0.0,0.3858226315200308,0.3857557602524469
012583959F,1.0,,0.13613333333333333,0.35982367832148865,0.35979503560075216
0131823FC3,2.0,,0.005333333333333335,0.38479059359334244,0.3847252531339778
0126335EEC,2.0,,0.002933333333333334,0.38525488298757676,0.38518885396149505
013396683B,3.0,,0.32866666666666683,0.32444185539569875,0.3244635370398099
014301862E,3.0,,0.0,0.3858226315200308,0.3857557602524469
0137314318,0.0,,0.14199999999999988,0.3587203104020138,0.35869327123942274
01428370D2,3.0,,0.1212666666666666,0.36262633434682257,0.3625936104392204
0142190AE3,2.0,,0.07453333333333327,0.3714967355300043,0.371451024828731
0139556D3D,1.0,,0.0,0.3858226315200308,0.3857557602524469
0124083C84,2.0,,0.0006666666666666668,0.3856935704220926,0.38562689063648814
0147970CB1,0.0,,0.007333333333333334,0.384403845940184,0.3843390789125425
260170855B,3.0,,0.0028,0.3852806829770987,0.3852146156830225
01432440B0,0.0,,0.0032000000000000006,0.3852032849436148,0.3851373324490193
0134359C8A,2.0,,0.005066666666666666,0.38484217096070666,0.3847767540180458
01344317F6,3.0,,0.08879999999999995,0.36877928124292425,0.3687375596774483
0142719F6D,1.0,,0.0012,0.3855903331132061,0.38552380648635537
01407728B8,2.0,,0.4097333333333334,0.3100969918565027,0.31013826758976115
01403669AD,0.0,,0.00013333333333333334,0.385796818015636,0.38572998504742595
01406113DD,2.0,,0.13186666666666666,0.3606270601683665,0.36059724873508875
013124639F,0.0,,0.0,0.3858226315200308,0.3857557602524469
0103366451,2.0,1.0,0.5341333333333331,0.28878279370371734,0.28885205203439224
0131724E11,3.0,,0.04253333333333328,0.3776213867755607,0.3775666544083149
014987833C,2.0,,0.0014666666666666667,0.38553871831809156,0.38547226826166137
0134137559,1.0,,0.0,0.3858226315200308,0.3857557602524469
0145604C35,3.0,,0.05253333333333325,0.37570312912136766,0.3756512267240526
0134445385,3.0,,0.18293333333333328,0.35106389910221836,0.3510479347474121
0135410FD9,3.0,,0.015333333333333345,0.3828583204222492,0.38279584368209424
01395887A7,1.0,,0.08106666666666658,0.3702512730282988,0.37020739172968925
013570427B,1.0,,0.00039999999999999996,0.3857451929337988,0.3856784365598707
0144769B25,3.0,,0.0,0.3858226315200308,0.3857557602524469
0135116D3C,1.0,,0.0014,0.38555162177557345,0.38548515257709826
0136701939,1.0,,0.14426666666666652,0.35829440857982087,0.35826798790467856
01419748A4,0.0,,0.0,0.3858226315200308,0.3857557602524469
01051135FC,0.0,,0.2630666666666666,0.3362978063275304,0.3363029062431957
0130595A64,0.0,,0.09066666666666658,0.3684243373831903,0.3683831361987795
0136918C4B,1.0,,0.0002666666666666667,0.38577100515351564,0.38570421048319103
0143757805,0.0,,0.0005333333333333334,0.3857193813566147,0.3856526632775935
01341911EA,3.0,,0.09666666666666653,0.3672844126556257,0.36724488163742774
01450291B7,0.0,,0.004266666666666668,0.384996918587758,0.38493127215898665
0141810150,0.0,,0.023866666666666685,0.38121236714693785,0.3811523272081852
013730185C,3.0,,0.013866666666666673,0.38314149054495267,0.3830785943340562
0130505022,2.0,,0.00039999999999999996,0.3857451929337988,0.3856784365598707
0139469574,2.0,,0.006400000000000002,0.38458431002626187,0.3845192754395878
0150824FE2,1.0,,0.00013333333333333334,0.385796818015636,0.38572998504742595
01512206AF,0.0,,0.004133333333333335,0.38502271212163813,0.38495702743990556
0140471056,3.0,,0.043066666666666656,0.37751898230159037,0.3774644011054199
01365669D1,3.0,,0.0,0.3858226315200308,0.3857557602524469
0156038E9D,2.0,,0.0,0.3858226315200308,0.3857557602524469
01507746A2,0.0,,0.005200000000000002,0.3848163819534378,0.38475100325318035
01513745C5,0.0,,0.002,0.3854354964516821,0.3853691995181574
0148436D3F,2.0,,0.04853333333333327,0.37646996804915084,0.376416934806753
01516655E9,3.0,,0.0,0.3858226315200308,0.3857557602524469
0147307992,0.0,,0.0,0.3858226315200308,0.3857557602524469
014134840E,2.0,,0.03126666666666667,0.3797872212115275,0.3797292891644903
0154676AA9,3.0,,0.0006666666666666668,0.3856935704220926,0.38562689063648814
01526903C5,1.0,,0.0,0.3858226315200308,0.3857557602524469
014943232F,1.0,,0.0009333333333333334,0.3856419504815507,0.38557534727830695
2165593FDC,1.0,,0.0002666666666666667,0.38577100515351564,0.38570421048319103
0151753E85,3.0,,0.03839999999999995,0.37841539116928263,0.37835948632254135
26393268B5,0.0,,0.2622666666666665,0.3364437098763053,0.33644860377307145
0168073A37,2.0,,0.0,0.3858226315200308,0.3857557602524469
015080610C,0.0,1.0,0.13119999999999984,0.3607526592281953,0.36072266499554523
017561493F,3.0,,0.0,0.3858226315200308,0.3857557602524469
0144046683,3.0,,0.0,0.3858226315200308,0.3857557602524469
01513333F0,2.0,,0.04426666666666663,0.37728861221059073,0.3772343710514124
0102990E05,3.0,,0.35773333333333307,0.3192586339689677,0.3192874587472132
0154300462,1.0,,0.1694666666666665,0.3535745608420209,0.35355497535105196
0142831BDB,1.0,,0.062266666666666595,0.37383976237823646,0.37379060523538415
014971196A,2.0,,0.44626666666666687,0.30374777453116464,0.30379753758983086
0150912883,1.0,,0.0,0.3858226315200308,0.3857557602524469
01513734F2,0.0,,0.00013333333333333334,0.385796818015636,0.38572998504742595
0136044B0C,2.0,,0.0,0.3858226315200308,0.3857557602524469
014868069C,0.0,,0.01806666666666668,0.38233080651474294,0.38226911101295946
01480037EE,2.0,,0.0033333333333333335,0.38517748688943254,0.3851115726583277
0154367BAA,3.0,,0.0006666666666666668,0.3856935704220926,0.38562689063648814
0148336ABA,0.0,,0.002666666666666667,0.3853064836114762,0.3852403780479054
01505269F9,0.0,,0.0,0.3858226315200308,0.3857557602524469
015443107E,0.0,,0.0,0.3858226315200308,0.3857557602524469
0148045A96,3.0,,0.0425333333333333,0.3776213867755607,0.3775666544083149
01425904FC,1.0,,0.003866666666666668,0.38507430112770136,0.3850085399355289
0151142651,0.0,,0.0014666666666666662,0.38553871831809156,0.38547226826166137
0154774B88,2.0,,0.12573333333333325,0.3617832889245171,0.3617517938324347
014371013E,0.0,,0.13319999999999974,0.3603759192666736,0.36034647327995467
015178481C,3.0,,0.007200000000000003,0.3844296245772465,0.38436481933144107
0196929EEF,0.0,,0.14946666666666666,0.3573181850127004,0.35729318095080065
009696520C,0.0,,0.0,0.3858226315200308,0.3857557602524469
0149209B26,0.0,,0.0,0.3858226315200308,0.3857557602524469
014867527D,0.0,,0.008000000000000002,0.3842749624958936,0.3842103865362607
0123111A66,2.0,,0.006800000000000001,0.3845069643825305,0.38444204447311986
01426430BA,0.0,,0.0352,0.3790305524250788,0.3789737387601963
0147546ECB,2.0,,0.04706666666666659,0.37675129769478155,0.3766978494259504
5139242CA6,3.0,,0.00039999999999999996,0.3857451929337988,0.3856784365598707
0157543896,0.0,,0.0,0.3858226315200308,0.3857557602524469
01614164B1,2.0,,0.007466666666666669,0.38437806795235185,0.3843133391413542
01599001A7,0.0,,0.00013333333333333334,0.385796818015636,0.38572998504742595
0157346605,3.0,,0.0002666666666666667,0.38577100515351564,0.38570421048319103
0169988687,3.0,,0.08293333333333325,0.36989574262778213,0.36985238321155633
0166658A85,2.0,,0.014666666666666673,0.3829870242709408,0.38292435688554105
01698672AE,3.0,,0.23853333333333337,0.34078628089366525,0.3407850227092079
0165282B02,2.0,,0.0341333333333333,0.379235692759718,0.37917857594517435
0170310042,3.0,,0.0005333333333333334,0.3857193813566147,0.3856526632775935
015836923B,3.0,,0.0,0.3858226315200308,0.3857557602524469
0164043C8D,2.0,,0.0,0.3858226315200308,0.3857557602524469
