cig,score_mean,score_lower,score_upper,pc_mean,pc_lower,pc_upper,lift_vs_prior,percentile_rank
0202159ADF,0.363656,0.290758,0.459298,0.030624,0.022161,0.044852,1.5312,100.0
5171915F42,0.36251,0.297692,0.441159,0.030478,0.022896,0.041815,1.5239,99.99
B3135578FD,0.35545,0.297971,0.41889,0.029584,0.022926,0.038322,1.4792,99.98
73767037E2,0.354771,0.292545,0.436455,0.029499,0.022349,0.041056,1.475,99.97
495636274E,0.346346,0.286988,0.42543,0.028458,0.021766,0.039322,1.4229,99.96
6318656FDE,0.344725,0.283853,0.4308,0.02826,0.021441,0.040159,1.413,99.95
A038BB9463,0.339829,0.291009,0.414982,0.027669,0.022187,0.037734,1.3834,99.94
B1225E8DF4,0.33873,0.270985,0.443897,0.027537,0.020135,0.042262,1.3768,99.93
5826130292,0.336947,0.279365,0.415227,0.027325,0.020981,0.037771,1.3662,99.92
750795721E,0.326497,0.278804,0.40191,0.026099,0.020924,0.035818,1.305,99.91
B4666D17AF,0.325667,0.287789,0.382755,0.026004,0.02185,0.033144,1.3002,99.9
B1B059EACD,0.325633,0.27962,0.399143,0.026,0.021007,0.035422,1.3,99.89
9570545793,0.32487,0.284921,0.384979,0.025912,0.021552,0.033446,1.2956,99.88
34960897E7,0.324255,0.282476,0.386269,0.025841,0.0213,0.033623,1.292,99.87
5292980146,0.323418,0.280294,0.391525,0.025745,0.021076,0.034349,1.2872,99.86
823278551A,0.321806,0.284982,0.382293,0.025561,0.021558,0.033081,1.278,99.85
4849341AC7,0.321342,0.278833,0.397354,0.025508,0.020927,0.035168,1.2754,99.84
26449666FC,0.319038,0.272505,0.39976,0.025246,0.020287,0.03551,1.2623,99.83
66375252E8,0.317477,0.275777,0.396665,0.025069,0.020616,0.03507,1.2534,99.82
6537399052,0.315555,0.273842,0.383365,0.024853,0.020421,0.033227,1.2426,99.81
6510792B84,0.314407,0.272563,0.388203,0.024725,0.020293,0.033889,1.2362,99.8
B4D116EF2F,0.313649,0.274239,0.389521,0.02464,0.020461,0.034071,1.232,99.79
B54F32E8C9,0.313508,0.2722,0.382519,0.024624,0.020257,0.033112,1.2312,99.78
