cig,label,score_raw_final,score_calib_final,rank_pct_global,rank_pct_within_U
011759741C,,0.01257373134382,0.3473647413324201,63.33,65.82
0080520F30,,0.0732773254666602,0.3929390661061809,94.91,97.15
01175258B0,,0.0122449544608423,0.3471245299278626,62.6,65.07
01129243D4,1.0,0.126868248179848,0.4348149268546263,97.58,
01088788F5,,0.0138094965269563,0.3482683120370851,66.15,68.74
0116863664,,0.0092930697789931,0.3449713175233526,51.37,53.42
0116685381,,0.1027592395369414,0.4158229995266675,96.81,98.63
01188920C8,,0.0157304576525691,0.3496750544074231,70.62,73.38
0120704815,,0.0215133074912962,0.3539256459087366,80.16,83.12
0120751EDC,,0.1356121076331155,0.441753568920622,97.74,99.28
0125636E17,,0.0237298127337098,0.3555610357588528,81.94,84.9
0430761338,,0.0144296237331851,0.3487221507560764,67.54,70.18
0430694BEB,,0.0167076357527364,0.350391660474004,73.14,76.0
00836917FD,1.0,0.7955054368114913,0.8690987437245016,99.9,
01248315CB,,0.0280134986827556,0.3587311874575566,84.11,87.06
01203514C8,,0.1534958366828802,0.4560132720041561,98.11,99.49
0124665CCC,,0.0081200804631717,0.3441174534875986,44.66,46.44
04307011B5,,0.0105171312843251,0.3458634268447846,57.7,59.99
013102091D,,0.0309311333072817,0.3608974979002927,85.46,88.42
0128398560,,0.0160562405496757,0.3499138895526212,71.45,74.24
0134148E6A,,0.033496737599612,0.3628071217536966,86.63,89.58
0142633877,,0.0515133694828007,0.3763364953936645,91.55,94.28
013964892A,,0.0105594993696023,0.3458943246348136,57.99,60.29
0136183DC0,,0.0098983631422921,0.3454123258887652,54.68,56.85
0142004168,,0.0117030182437572,0.3467287496715078,61.06,63.48
013150160D,,0.0568600103509493,0.380389992263414,92.54,95.22
469885951C,,0.010904513797586,0.3461459818398664,58.76,61.08
0136763C62,,0.0128293351484669,0.3475515446314868,63.97,66.49
0127654F65,,0.0206237288462171,0.3532702509672473,79.35,82.33
0137049867,,0.0165824519952667,0.350299820134593,72.91,75.76
01485982F2,,0.0211045516051826,0.3536244276579728,79.77,82.73
015337590B,,0.0107270643524582,0.3460165375564903,58.29,60.61
0146005721,,0.0254144239882774,0.3568062432012598,82.88,85.85
01267315B9,,0.0151724781391896,0.3492661684791855,69.46,72.18
0109226823,,0.0320333597022476,0.3617173694037499,85.96,88.92
0146599152,,0.0470584411251922,0.3729721871294125,90.6,93.41
015080610C,1.0,0.8246384736128879,0.879416823886258,99.95,
0152078AB9,,0.0253856091893749,0.3567849279503736,82.87,85.83
0149441A9A,,0.0425491335682946,0.3695792897618661,89.71,92.56
01445706EE,,0.0320914293926513,0.3617605858954011,86.04,89.0
0315554365,,0.04689586588652,0.3728496422691346,90.57,93.38
0125982B9F,,0.0119242902830712,0.3468903208026452,61.69,64.12
0145053584,,0.0136125630860763,0.348124244280933,65.77,68.36
01483473D0,,0.0103116468880892,0.345713591615826,56.24,58.48
0431292968,,0.0125300561581049,0.3473328268311888,63.25,65.74
