cig,fold,label,score_raw,score_calib_pf,score_calib_gl
011759741C,3.0,,0.013878906483175874,0.3546851451460917,0.3483190958935343
0080520F30,2.0,,0.13567116128273504,0.4445532515473312,0.441800511175365
01175258B0,1.0,,0.01137147128394123,0.35291627047926216,0.34648672276847
01129243D4,0.0,1.0,0.12199734909520177,0.4341607619586329,0.4309605207857219
01088788F5,3.0,,0.00766794863366675,0.35031098129398475,0.3437885976957645
0116863664,1.0,,0.007885602845960469,0.35046384797951907,0.3439468887112609
0116685381,0.0,,0.07724635181986399,0.40059661630093063,0.39599495223767506
01188920C8,1.0,,0.01762634133224458,0.3573361902363738,0.3510660024695185
0120704815,1.0,,0.012548849758397568,0.3537463558305059,0.34734655959561045
0120751EDC,1.0,,0.44547528706060713,0.6755149472123948,0.682383393934404
0125636E17,3.0,,0.019634730152797264,0.3587605976737737,0.3525422557503223
0430761338,1.0,,0.011185485368957556,0.35278522610025687,0.34635098914097634
0430694BEB,2.0,,0.08414124692530141,0.4057157914351874,0.40132279442943086
00836917FD,1.0,1.0,0.37398239105773873,0.6254241393231869,0.6304855996060817
01248315CB,2.0,,0.060673453295123095,0.38838223151718093,0.38329137245151695
01203514C8,0.0,,0.3141852583054424,0.5813029184682299,0.5845679592991706
0124665CCC,1.0,,0.005889098008481844,0.34906278227028925,0.34249621516197143
04307011B5,3.0,,0.006676070693572314,0.3496147378791571,0.34306768508484453
013102091D,3.0,,0.03399122819756919,0.3690140624402056,0.3631756798951814
0128398560,2.0,,0.05178965358230548,0.3818909988853294,0.37654553892255
0134148E6A,2.0,,0.11745313033866896,0.43071934056857025,0.42737213801651464
0142633877,0.0,,0.0578865496400759,0.3863415044510482,0.38117018332448666
013964892A,2.0,,0.046675864905275886,0.3781733146928024,0.372683837425112
0136183DC0,3.0,,0.009548677111785926,0.35163289904291184,0.34515751698954
0142004168,2.0,,0.055631674414845504,0.3846932721295326,0.37945724315951623
013150160D,0.0,,0.06099502436457489,0.38861795743311245,0.38353641692192875
469885951C,3.0,,0.006287015087520384,0.3493418171644176,0.34278511058758826
0136763C62,0.0,,0.0193546209716623,0.3585617859035269,0.3523361934834483
0127654F65,2.0,,0.12301123444290438,0.43492947533117926,0.4317621484803682
0137049867,0.0,,0.01254013505028469,0.3537402084659838,0.34734019159665325
01485982F2,3.0,,0.018449256561380974,0.35791952238945807,0.3516705383976723
015337590B,1.0,,0.012897470665711444,0.353992313034458,0.34760134813485377
0146005721,1.0,,0.015035239795709933,0.3555022265401174,0.34916563452238564
01267315B9,2.0,,0.061099382624502464,0.3886944678898466,0.3836159530122954
0109226823,3.0,,0.06771032245663355,0.3935523261092268,0.3886669785329095
0146599152,0.0,,0.06280774042174822,0.3899477309849101,0.3849188514807387
015080610C,0.0,1.0,0.5578866539052023,0.7465119418336734,0.7553008981247715
0152078AB9,2.0,,0.07698515846805559,0.4004031093278286,0.3957935980569155
0149441A9A,1.0,,0.07156878763214722,0.39639743481290224,0.39162616692485486
01445706EE,3.0,,0.01863677530985645,0.3580525059908423,0.3518083614081816
0315554365,3.0,,0.03906800729276301,0.3726689738693833,0.36696878435748836
0125982B9F,3.0,,0.014316281297938889,0.3549941009771477,0.34863918082260337
0145053584,2.0,,0.053153718238473625,0.3828850245648146,0.37757829716623975
01483473D0,0.0,,0.00772397239314224,0.3503503259373181,0.343829338172513
0431292968,1.0,,0.010003661029958517,0.351953038914008,0.34548907166160153
0154665198,0.0,,0.0226921296777832,0.36093377826987416,0.3547949861849666
0140785374,2.0,,0.05428022372413502,0.3837066748698071,0.3784320340606974
0140883453,1.0,,0.02159132130133318,0.3601506688428913,0.35398314862257263
0430987DB5,3.0,,0.00613714970155343,0.3492367136124527,0.3426762917563617
01580467AD,0.0,,0.009359320984252349,0.35149970186455454,0.34501957424691626
0173776C7A,3.0,,0.026573939129982953,0.36370116123406787,0.35766444425266697
0164122DBE,0.0,,0.015422663475693437,0.3557761742863658,0.34944947625846623
0158814175,1.0,,0.00720224228915474,0.34998400158800086,0.3434500250607367
0159444957,0.0,,0.010415016262031528,0.35224259495624943,0.3457889627287789
01307298F9,3.0,,0.08086536871007281,0.40328095773858624,0.39878845749657077
0150283174,3.0,1.0,0.32331370453435165,0.5881423511695364,0.5916953020227351
01610441B6,2.0,,0.051907824575687926,0.38197707386419083,0.3766349641214213
0166837E3B,1.0,,0.07987032955349375,0.4025423202528249,0.39801972525286067
01170039EB,2.0,,0.15611916868985093,0.46018247916940486,0.4581116532099728
0161057C6D,3.0,,0.015334823226276344,0.35571405405372225,0.3493851116936901
0163344BB8,2.0,,0.08058968077112881,0.4030762649832699,0.3985754205465777
0164727105,3.0,,0.014068559383008153,0.3548190986010844,0.34845787318036225
04308615BD,0.0,,0.020092954475421237,0.35908593402470834,0.35287946667274256
0157899E5C,0.0,,0.011067572983971085,0.3527021573227624,0.346264948930292
01636063F0,3.0,,0.00773457586069464,0.35035777282216035,0.34383704927254094
01508250BA,2.0,,0.05193239188488116,0.3819949694619536,0.3766535563425005
01600605AF,0.0,,0.020750334296385623,0.3595528958944214,0.3533634936315025
0153789EAE,2.0,,0.05273421027448989,0.38257921460128996,0.37726056120258455
01693800CC,2.0,,0.21284935765195695,0.5038599025308464,0.5037283691523313
0172500F7C,3.0,,0.011049685085315206,0.35268955615134245,0.34625189707813386
0144870E7D,1.0,,0.0073540797752712755,0.3500905935876022,0.34356039479102396
01787537A2,2.0,,0.12114856736776329,0.4335174711108673,0.4302897100896212
017925885F,3.0,,0.026716238614378846,0.36380278095050944,0.3577698285178355
01694022F3,1.0,,0.01292788050231451,0.35401377128949263,0.3476235772127661
016521106E,0.0,,0.34685935934356443,0.6056215362103469,0.609895695311184
0094698342,0.0,,0.009690463376285706,0.35173264967707074,0.3452608229637623
0169223F38,1.0,,0.01717642292537492,0.3570174393647134,0.35073568194436194
0178952BD9,0.0,,0.01034411665057156,0.3521926804335389,0.3457372658993299
01713602BE,2.0,,0.04918025667600146,0.37999222900270324,0.37457304592342044
0177747974,2.0,,0.06049936475059717,0.3882546386369749,0.38315873774628073
01607173DC,1.0,,0.014293339860182093,0.35497789243905803,0.34862238814456226
0178991C08,1.0,,0.0373909804763397,0.3714600030131391,0.36571394719989236
018024460C,3.0,,0.06969973879509468,0.3950183696220921,0.39019172004430824
0175787803,3.0,,0.008883665133091412,0.3511652172776366,0.3446731821312088
01446286CB,3.0,,0.12250432193303383,0.4345451021617635,0.4313613135272877
018142764A,2.0,,0.07671483207575058,0.4002028687878438,0.3955852404103359
0188569C0C,2.0,,0.0532577545457937,0.3829608785789554,0.3776571107130671
0184321A7D,2.0,,0.05030949212831809,0.380813488494705,0.37542614962778603
0187246847,3.0,,0.006339527471837441,0.34937864860103257,0.34282324429274214
0145608F81,0.0,,0.007274172630120263,0.3500344958076643,0.34350230867350184
0191362CE7,3.0,,0.006312071102148675,0.3493593908710585,0.3428033056361264
01844103F1,1.0,,0.023843154746902337,0.3617534031290572,0.35564475324061334
0183798AE5,2.0,,0.0524053333234384,0.3823395371817942,0.3770115430326016
0182659EF5,2.0,,0.04678449498858925,0.37825214095404763,0.3727657032933703
0188553ED7,3.0,,0.03702319154234585,0.3711950779236445,0.3654389916270966
0192579935,0.0,,0.007448210886983473,0.35015668243976206,0.34362882660229355
0182174EB9,1.0,,0.32268684932265246,0.5876737389679912,0.5912070585676232
0189415632,1.0,,0.011101120634678007,0.3527257905950661,0.3462894274979489
0172653DBF,3.0,,0.07211563068043893,0.3968012319924458,0.3920462103081824
019525270A,1.0,,0.014803034948146963,0.35533807955978697,0.3489955634026414
0185845424,1.0,,0.014895217477340027,0.3554032398642447,0.34906307499078787
018823044E,1.0,,0.15808874006253182,0.46169254331760246,0.4596880781262822
0185712662,3.0,,0.07832221920268424,0.40139400668731706,0.39682471045024414
01909118BB,0.0,,0.006429874884109778,0.3494420211933541,0.34288885797573576
0430944A3A,1.0,,0.01133813826287212,0.3528927826372728,0.3464623942931144
0188069F6E,0.0,,0.018640175125844174,0.35805491725690203,0.3518108604416114
0176386653,3.0,,0.007777024627903738,0.3503875856001808,0.3438679198749422
0203326DE8,2.0,,0.05107286754412855,0.3813690556589498,0.37600329574491204
01879247C8,2.0,,0.060566465428034955,0.3883038162152836,0.3832098583997281
0182150AEC,1.0,,0.010695139168348883,0.3524398377627463,0.3459932514693828
018103961A,0.0,,0.016295622646650767,0.3563937908165036,0.35008943128465586
018268546D,1.0,,0.01208183525295397,0.35341699147048583,0.34700538043183393
0197722D57,2.0,,0.06430061592637944,0.3910441065273041,0.3860587633796304
0201492474,2.0,,0.046675864905275886,0.3781733146928024,0.372683837425112
0195192587,2.0,,0.04778962337082164,0.37898180634732254,0.3735235342321104
0126623C97,0.0,,0.009984000964928803,0.35193920276927015,0.3454747419225652
0197383599,2.0,,0.05121328814023549,0.3814712844134861,0.3761094984293665
