cig,score_mean,score_lower,score_upper,pc_mean,pc_lower,pc_upper,lift_vs_prior,percentile_rank
0462709F87,0.713442,0.448916,0.895068,0.063448,0.021685,0.188383,3.1724,100.0
7064979D18,0.52825,0.387674,0.8055,0.029569,0.016936,0.101278,1.4784,99.97
0384232645,0.518471,0.374929,0.748176,0.028464,0.016059,0.074797,1.4232,99.93
9440488924,0.491503,0.372605,0.7301,0.025627,0.015903,0.068561,1.2814,99.9
55964310F6,0.487721,0.364856,0.704738,0.025252,0.015391,0.060987,1.2626,99.87
7094956EE5,0.476242,0.362035,0.733217,0.024145,0.015207,0.069582,1.2072,99.83
9338161E39,0.474338,0.366146,0.754557,0.023966,0.015475,0.077196,1.1983,99.8
7819218ECE,0.473773,0.366415,0.724618,0.023913,0.015493,0.066816,1.1956,99.77
6558357F64,0.468716,0.35732,0.731147,0.023444,0.014903,0.068901,1.1722,99.73
6006189FF1,0.467788,0.361452,0.747313,0.023358,0.015169,0.074481,1.1679,99.7
6849545757,0.457734,0.376406,0.644132,0.022453,0.016159,0.046941,1.1226,99.67
32403071ED,0.454443,0.360721,0.69813,0.022164,0.015122,0.059204,1.1082,99.63
7472641A6C,0.453244,0.362555,0.651032,0.022059,0.015241,0.048312,1.1029,99.6
99636052F4,0.446328,0.356242,0.630396,0.021465,0.014835,0.044352,1.0732,99.57
60871402D6,0.445912,0.359259,0.688355,0.021429,0.015028,0.056695,1.0714,99.53
7921503711,0.444132,0.360996,0.673952,0.021279,0.01514,0.053251,1.064,99.5
99384479E8,0.442279,0.358198,0.693948,0.021123,0.01496,0.058113,1.0562,99.47
8260910E93,0.442199,0.356691,0.66988,0.021116,0.014863,0.052327,1.0558,99.43
7923566D80,0.438093,0.359189,0.654362,0.020774,0.015023,0.048992,1.0387,99.4
805092597A,0.434879,0.356951,0.66207,0.02051,0.01488,0.050613,1.0255,99.37
4666628F3C,0.434198,0.35645,0.631143,0.020455,0.014848,0.044489,1.0228,99.33
674121529A,0.4329,0.359029,0.635136,0.020349,0.015013,0.045225,1.0174,99.3
6935640F2C,0.429763,0.357193,0.634936,0.020096,0.014895,0.045188,1.0048,99.27
0236297672,0.428301,0.348169,0.689016,0.019978,0.014326,0.05686,0.9989,99.23
0338445DA2,0.42686,0.3544,0.614362,0.019863,0.014717,0.041549,0.9931,99.2
6509374959,0.425208,0.354107,0.622969,0.019732,0.014699,0.043026,0.9866,99.17
B2B2365DC9,0.42061,0.352532,0.577021,0.019371,0.014599,0.035792,0.9686,99.13
7585552389,0.419525,0.352671,0.586205,0.019287,0.014608,0.037118,0.9644,99.1
647190836F,0.419444,0.352134,0.64963,0.01928,0.014574,0.048029,0.964,99.07
8216650215,0.41928,0.356735,0.587433,0.019268,0.014866,0.037299,0.9634,99.03
78787115FE,0.41886,0.354237,0.566668,0.019235,0.014707,0.034361,0.9617,99.0
6613943E69,0.418639,0.359208,0.58406,0.019218,0.015024,0.036803,0.9609,98.97
82408081E5,0.41737,0.354003,0.626034,0.01912,0.014692,0.043568,0.956,98.93
9046022581,0.417198,0.36464,0.523683,0.019107,0.015376,0.029048,0.9554,98.9
