fold,gamma,pi,best_iter,lift@1%,lift@2%,lift@5%,pr_auc,roc_auc
0,0.0,0.02,225,16.9811320754717,14.150943396226415,9.056603773584904,0.4254054735271108,0.49407008086253373
1,0.0,0.02,243,18.867924528301884,16.037735849056602,9.056603773584904,0.4535299065360785,0.4626684636118598
2,0.0,0.02,246,23.076923076923077,17.307692307692307,10.769230769230768,0.5008108505231437,0.5184065934065933
3,0.0,0.02,239,17.307692307692307,14.423076923076923,9.615384615384615,0.44148613938182335,0.4293956043956044
0,0.05,0.02,220,16.9811320754717,14.150943396226415,8.679245283018867,0.43258431167035516,0.48571428571428577
1,0.05,0.02,238,20.754716981132074,15.094339622641508,8.679245283018867,0.4713040940762656,0.458355795148248
2,0.05,0.02,239,19.23076923076923,16.346153846153847,10.769230769230768,0.5238026142473055,0.5230769230769231
3,0.05,0.02,237,23.076923076923077,14.423076923076923,10.0,0.4513579352803486,0.44258241758241756
0,0.1,0.02,217,22.641509433962263,14.150943396226415,7.924528301886792,0.43661552239661616,0.4902964959568733
1,0.1,0.02,246,22.641509433962263,16.037735849056602,9.056603773584904,0.49703449313123804,0.4707547169811321
2,0.1,0.02,268,23.076923076923077,16.346153846153847,10.0,0.5400302808489735,0.5387362637362637
3,0.1,0.02,241,21.153846153846153,14.423076923076923,9.23076923076923,0.4792995164534719,0.45576923076923076
0,0.2,0.02,224,22.641509433962263,14.150943396226415,7.547169811320754,0.4492309076030119,0.5040431266846361
1,0.2,0.02,306,26.41509433962264,15.094339622641508,8.301886792452828,0.5492940862053587,0.49595687331536387
2,0.2,0.02,246,21.153846153846153,16.346153846153847,10.384615384615385,0.5614981010464459,0.5373626373626373
3,0.2,0.02,235,19.23076923076923,12.5,8.461538461538462,0.4816950452238336,0.46071428571428574
0,0.33,0.02,223,22.641509433962263,14.150943396226415,7.924528301886792,0.46276634291939484,0.5061994609164421
1,0.33,0.02,311,26.41509433962264,14.150943396226415,8.679245283018867,0.5621582944080078,0.5121293800539084
2,0.33,0.02,271,23.076923076923077,18.26923076923077,10.0,0.5755903748932016,0.5527472527472527
3,0.33,0.02,237,19.23076923076923,11.538461538461538,8.846153846153847,0.4965627055847188,0.47774725274725277
0,0.5,0.02,227,20.754716981132074,14.150943396226415,8.679245283018867,0.4686418338521922,0.5148247978436657
1,0.5,0.02,323,24.528301886792452,16.037735849056602,7.924528301886792,0.5735156014731702,0.5177897574123989
2,0.5,0.02,274,23.076923076923077,18.26923076923077,9.615384615384615,0.5814119081134245,0.5579670329670329
3,0.5,0.02,249,17.307692307692307,12.5,8.461538461538462,0.5077948011527128,0.4695054945054945
0,0.66,0.02,220,18.867924528301884,14.150943396226415,8.301886792452828,0.4829539300789663,0.5315363881401618
1,0.66,0.02,306,20.754716981132074,15.094339622641508,8.301886792452828,0.5764286036246451,0.5191374663072776
2,0.66,0.02,254,23.076923076923077,16.346153846153847,9.23076923076923,0.5983833642543689,0.5568681318681319
3,0.66,0.02,244,19.23076923076923,11.538461538461538,8.461538461538462,0.5079160801068973,0.4728021978021978
0,0.8,0.02,250,20.754716981132074,15.094339622641508,8.301886792452828,0.497429356621602,0.5420485175202155
1,0.8,0.02,307,20.754716981132074,16.9811320754717,8.679245283018867,0.5714093845136068,0.5164420485175202
2,0.8,0.02,263,25.0,15.384615384615383,9.23076923076923,0.6045068481796276,0.5587912087912088
3,0.8,0.02,250,17.307692307692307,12.5,8.846153846153847,0.5126693614113621,0.4777472527472527
0,0.9,0.02,226,18.867924528301884,13.20754716981132,8.301886792452828,0.48727017772217757,0.5358490566037736
1,0.9,0.02,317,20.754716981132074,15.094339622641508,9.811320754716979,0.5855204946969975,0.5353099730458221
2,0.9,0.02,274,21.153846153846153,15.384615384615383,9.23076923076923,0.6036656640055591,0.5697802197802198
3,0.9,0.02,248,17.307692307692307,12.5,8.461538461538462,0.5127154284286317,0.484065934065934
0,1.0,0.02,229,20.754716981132074,13.20754716981132,8.301886792452828,0.491187778768438,0.5415094339622641
1,1.0,0.02,226,26.41509433962264,16.037735849056602,9.433962264150942,0.585582293534418,0.5192722371967655
2,1.0,0.02,278,23.076923076923077,14.423076923076923,8.846153846153847,0.6135547617801388,0.5697802197802198
3,1.0,0.02,248,17.307692307692307,12.5,8.846153846153847,0.5287206413565448,0.4953296703296704
